Tumor_Sample_Barcode	Tumor_type	SBS.Sig.max	Replication_Zone	Mutations_Mb_decile_zone	Mutations_Mb_decile_zone_histo	MSI
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	Eso-AdenoCA	AICDA_canonical	Late	825	-825	MSS
02706819-bcab-4c49-a569-a4a8c60db1c0	CNS-PiloAstro	AICDA_canonical	Early	1	1	MSS
02706819-bcab-4c49-a569-a4a8c60db1c0	CNS-PiloAstro	AICDA_canonical	Late	2	-2	MSS
02917220-6a7a-46a1-8656-907e96bef88e	Lymph-BNHL	AICDA_canonical	Early	193	193	MSS
02917220-6a7a-46a1-8656-907e96bef88e	Lymph-BNHL	AICDA_canonical	Late	393	-393	MSS
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	CNS-PiloAstro	AICDA_canonical	Early	6	6	MSS
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	CNS-PiloAstro	AICDA_canonical	Late	12	-12	MSS
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	Panc-AdenoCA	AICDA_canonical	Early	68	68	MSS
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	Panc-AdenoCA	AICDA_canonical	Late	121	-121	MSS
02e5c36f-5bec-45e2-a048-875653b85ca1	Panc-AdenoCA	AICDA_canonical	Early	87	87	MSS
02e5c36f-5bec-45e2-a048-875653b85ca1	Panc-AdenoCA	AICDA_canonical	Late	155	-155	MSS
030695f6-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	225	225	MSS
030695f6-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	376	-376	MSS
031962d6-fc7d-4c6c-9d47-ffa45997b249	CNS-Medullo	AICDA_canonical	Early	19	19	MSS
031962d6-fc7d-4c6c-9d47-ffa45997b249	CNS-Medullo	AICDA_canonical	Late	23	-23	MSS
0363fe2c-d765-450e-8b1a-d13a23d9af2a	Panc-Endocrine	AICDA_canonical	Early	30	30	MSS
0363fe2c-d765-450e-8b1a-d13a23d9af2a	Panc-Endocrine	AICDA_canonical	Late	32	-32	MSS
03ad38a6-0902-4aaa-84a3-91ea88fa9883	Lymph-BNHL	AICDA_canonical	Early	112	112	MSS
03ad38a6-0902-4aaa-84a3-91ea88fa9883	Lymph-BNHL	AICDA_canonical	Late	164	-164	MSS
03b5268e-881e-49e7-824f-170c3fc8b11b	CNS-Medullo	AICDA_canonical	Early	48	48	MSS
03b5268e-881e-49e7-824f-170c3fc8b11b	CNS-Medullo	AICDA_canonical	Late	59	-59	MSS
03c3c692-8a86-4843-85ae-e045f0fa6f88	Panc-AdenoCA	AICDA_canonical	Early	359	359	MSS
03c3c692-8a86-4843-85ae-e045f0fa6f88	Panc-AdenoCA	AICDA_canonical	Late	502	-502	MSS
03c3c692-8a86-4843-85ae-e045f0fa6f88	Panc-AdenoCA	SBS2	Early	652	652	MSS
03c3c692-8a86-4843-85ae-e045f0fa6f88	Panc-AdenoCA	SBS2	Late	1116	-1116	MSS
041e3b42-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	155	155	MSS
041e3b42-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	183	-183	MSS
046d7386-95c8-4501-9e55-c85bec272a7a	Panc-AdenoCA	AICDA_canonical	Early	78	78	MSS
046d7386-95c8-4501-9e55-c85bec272a7a	Panc-AdenoCA	AICDA_canonical	Late	161	-161	MSS
04b570c2-3224-4e9b-81cc-089b4a7ff07a	Lymph-CLL	AICDA_canonical	Early	56	56	MSS
04b570c2-3224-4e9b-81cc-089b4a7ff07a	Lymph-CLL	AICDA_canonical	Late	102	-102	MSS
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	CNS-Medullo	AICDA_canonical	Early	42	42	MSS
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	CNS-Medullo	AICDA_canonical	Late	37	-37	MSS
04db8bef-8777-48ac-bc2e-3c9acb103f48	Kidney-RCC	AICDA_canonical	Early	176	176	MSS
04db8bef-8777-48ac-bc2e-3c9acb103f48	Kidney-RCC	AICDA_canonical	Late	188	-188	MSS
05070acd-3ec1-44bb-9c32-26d3a483a72a	Panc-AdenoCA	AICDA_canonical	Early	114	114	MSS
05070acd-3ec1-44bb-9c32-26d3a483a72a	Panc-AdenoCA	AICDA_canonical	Late	181	-181	MSS
051cb117-16fd-459e-81e5-002eca2b7eea	Panc-Endocrine	AICDA_canonical	Early	9	9	MSS
051cb117-16fd-459e-81e5-002eca2b7eea	Panc-Endocrine	AICDA_canonical	Late	7	-7	MSS
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	Prost-AdenoCA	AICDA_canonical	Early	72	72	MSS
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	Prost-AdenoCA	AICDA_canonical	Late	113	-113	MSS
0554ffe5-31f7-43f5-8372-2b73c9cf3527	Panc-AdenoCA	AICDA_canonical	Early	107	107	MSS
0554ffe5-31f7-43f5-8372-2b73c9cf3527	Panc-AdenoCA	AICDA_canonical	Late	163	-163	MSS
05616329-e7ba-4efd-87b1-d79cd0f7af3d	Lymph-BNHL	AICDA_canonical	Early	131	131	MSS
05616329-e7ba-4efd-87b1-d79cd0f7af3d	Lymph-BNHL	AICDA_canonical	Late	264	-264	MSS
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	Panc-Endocrine	AICDA_canonical	Early	48	48	MSS
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	Panc-Endocrine	AICDA_canonical	Late	62	-62	MSS
05da3161-1444-4188-914d-19762de3a443	Lymph-CLL	AICDA_canonical	Early	23	23	MSS
05da3161-1444-4188-914d-19762de3a443	Lymph-CLL	AICDA_canonical	Late	50	-50	MSS
06018aae-1107-4899-bd24-14e6b1f94709	CNS-PiloAstro	AICDA_canonical	Early	4	4	MSS
06018aae-1107-4899-bd24-14e6b1f94709	CNS-PiloAstro	AICDA_canonical	Late	4	-4	MSS
0609b182-0396-4755-b463-10f949c5b8bb	CNS-Medullo	AICDA_canonical	Early	41	41	MSS
0609b182-0396-4755-b463-10f949c5b8bb	CNS-Medullo	AICDA_canonical	Late	39	-39	MSS
0624eb1d-3aff-4037-a3c5-fc363a9edd02	CNS-Medullo	AICDA_canonical	Early	32	32	MSS
0624eb1d-3aff-4037-a3c5-fc363a9edd02	CNS-Medullo	AICDA_canonical	Late	27	-27	MSS
062e96d4-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	153	153	MSS
062e96d4-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	269	-269	MSS
068f4f69-d2fe-4f25-912e-ca7d4623efb6	Lymph-BNHL	AICDA_canonical	Early	119	119	MSS
068f4f69-d2fe-4f25-912e-ca7d4623efb6	Lymph-BNHL	AICDA_canonical	Late	247	-247	MSS
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	Liver-HCC	AICDA_canonical	Early	114	114	MSS
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	Liver-HCC	AICDA_canonical	Late	175	-175	MSS
072f4146-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	114	114	MSS
072f4146-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	241	-241	MSS
074fd614-5d9c-4bcc-96ad-351aa14387e3	Panc-Endocrine	AICDA_canonical	Early	67	67	MSS
074fd614-5d9c-4bcc-96ad-351aa14387e3	Panc-Endocrine	AICDA_canonical	Late	86	-86	MSS
07531318-87e8-4db8-aa61-9b93597d063b	Prost-AdenoCA	AICDA_canonical	Early	95	95	MSS
07531318-87e8-4db8-aa61-9b93597d063b	Prost-AdenoCA	AICDA_canonical	Late	132	-132	MSS
07835447-5d7e-4828-80fd-89b063989c9a	Lymph-BNHL	AICDA_canonical	Early	218	218	MSS
07835447-5d7e-4828-80fd-89b063989c9a	Lymph-BNHL	AICDA_canonical	Late	355	-355	MSS
079bcb09-a075-4313-9a3e-dd67734a8c5d	Panc-AdenoCA	AICDA_canonical	Early	206	206	MSS
079bcb09-a075-4313-9a3e-dd67734a8c5d	Panc-AdenoCA	AICDA_canonical	Late	345	-345	MSS
079bcb09-a075-4313-9a3e-dd67734a8c5d	Panc-AdenoCA	SBS2	Early	302	302	MSS
079bcb09-a075-4313-9a3e-dd67734a8c5d	Panc-AdenoCA	SBS2	Late	562	-562	MSS
07f16397-71bb-4594-ad4d-caa7d2baeabd	Prost-AdenoCA	AICDA_canonical	Early	61	61	MSS
07f16397-71bb-4594-ad4d-caa7d2baeabd	Prost-AdenoCA	AICDA_canonical	Late	85	-85	MSS
0831e45e-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	251	251	MSS
0831e45e-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	373	-373	MSS
089be98d-c3c9-4fb4-aef2-7a8578a91d51	Prost-AdenoCA	AICDA_canonical	Early	58	58	MSS
089be98d-c3c9-4fb4-aef2-7a8578a91d51	Prost-AdenoCA	AICDA_canonical	Late	92	-92	MSS
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	Stomach-AdenoCA	AICDA_canonical	Early	86	86	MSS
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	Stomach-AdenoCA	AICDA_canonical	Late	60	-60	MSS
08e1d976-6c39-428e-a4c2-f655b675683e	Prost-AdenoCA	AICDA_canonical	Early	66	66	MSS
08e1d976-6c39-428e-a4c2-f655b675683e	Prost-AdenoCA	AICDA_canonical	Late	88	-88	MSS
08f7812b-0d74-42ba-985b-d0a027e8a80c	Lymph-CLL	AICDA_canonical	Early	19	19	MSS
08f7812b-0d74-42ba-985b-d0a027e8a80c	Lymph-CLL	AICDA_canonical	Late	24	-24	MSS
09497b9b-6fca-48cb-af97-161a3e434a51	Eso-AdenoCA	AICDA_canonical	Early	263	263	MSS
09497b9b-6fca-48cb-af97-161a3e434a51	Eso-AdenoCA	AICDA_canonical	Late	326	-326	MSS
09497b9b-6fca-48cb-af97-161a3e434a51	Eso-AdenoCA	SBS13	Early	369	369	MSS
09497b9b-6fca-48cb-af97-161a3e434a51	Eso-AdenoCA	SBS13	Late	512	-512	MSS
09508a0d-ebe0-4fa1-b7b2-1710814181cd	Ovary-AdenoCA	AICDA_canonical	Early	190	190	MSS
09508a0d-ebe0-4fa1-b7b2-1710814181cd	Ovary-AdenoCA	AICDA_canonical	Late	267	-267	MSS
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	Panc-AdenoCA	AICDA_canonical	Early	182	182	MSS
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	Panc-AdenoCA	AICDA_canonical	Late	339	-339	MSS
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	Panc-AdenoCA	SBS13	Early	280	280	MSS
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	Panc-AdenoCA	SBS13	Late	424	-424	MSS
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	Panc-AdenoCA	SBS2	Early	290	290	MSS
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	Panc-AdenoCA	SBS2	Late	648	-648	MSS
097a7d36-905b-72be-e050-11ac0d482c9a	Breast-AdenoCA	AICDA_canonical	Early	3955	3955	MSS
097a7d36-905b-72be-e050-11ac0d482c9a	Breast-AdenoCA	AICDA_canonical	Late	4390	-4390	MSS
097a7d36-905b-72be-e050-11ac0d482c9a	Breast-AdenoCA	SBS13	Early	15681	15681	MSS
097a7d36-905b-72be-e050-11ac0d482c9a	Breast-AdenoCA	SBS13	Late	12020	-12020	MSS
097a7d36-905b-72be-e050-11ac0d482c9a	Breast-AdenoCA	SBS2	Early	15085	15085	MSS
097a7d36-905b-72be-e050-11ac0d482c9a	Breast-AdenoCA	SBS2	Late	13934	-13934	MSS
09cb8bc5-13ac-44ac-9b7d-6de143373570	Panc-AdenoCA	AICDA_canonical	Early	148	148	MSS
09cb8bc5-13ac-44ac-9b7d-6de143373570	Panc-AdenoCA	AICDA_canonical	Late	298	-298	MSS
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	Panc-AdenoCA	AICDA_canonical	Early	122	122	MSS
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	Panc-AdenoCA	AICDA_canonical	Late	181	-181	MSS
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	Prost-AdenoCA	AICDA_canonical	Early	83	83	MSS
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	Prost-AdenoCA	AICDA_canonical	Late	135	-135	MSS
0a9c9db0-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	135	135	MSS
0a9c9db0-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	255	-255	MSS
0b29c893-03bf-4131-b192-c14a2788d411	Panc-AdenoCA	AICDA_canonical	Early	286	286	MSS
0b29c893-03bf-4131-b192-c14a2788d411	Panc-AdenoCA	AICDA_canonical	Late	428	-428	MSS
0b6cd7df-6970-4d60-b7b5-85002a7d8781	Lymph-CLL	AICDA_canonical	Early	47	47	MSS
0b6cd7df-6970-4d60-b7b5-85002a7d8781	Lymph-CLL	AICDA_canonical	Late	75	-75	MSS
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	CNS-Medullo	AICDA_canonical	Early	98	98	MSS
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	CNS-Medullo	AICDA_canonical	Late	104	-104	MSS
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	Panc-Endocrine	AICDA_canonical	Early	23	23	MSS
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	Panc-Endocrine	AICDA_canonical	Late	63	-63	MSS
0bd3a230-531e-44aa-9999-b8ed8da0176b	Prost-AdenoCA	AICDA_canonical	Early	49	49	MSS
0bd3a230-531e-44aa-9999-b8ed8da0176b	Prost-AdenoCA	AICDA_canonical	Late	60	-60	MSS
0be08326-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	175	175	MSS
0be08326-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	242	-242	MSS
0bfd1043-5142-3662-e050-11ac0c486501	Prost-AdenoCA	AICDA_canonical	Early	165	165	MSS
0bfd1043-5142-3662-e050-11ac0c486501	Prost-AdenoCA	AICDA_canonical	Late	210	-210	MSS
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	Prost-AdenoCA	AICDA_canonical	Early	128	128	MSS
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	Prost-AdenoCA	AICDA_canonical	Late	163	-163	MSS
0bfd1043-7343-fdd0-e050-11ac0c484cab	Prost-AdenoCA	AICDA_canonical	Early	192	192	MSS
0bfd1043-7343-fdd0-e050-11ac0c484cab	Prost-AdenoCA	AICDA_canonical	Late	235	-235	MSS
0bfd1043-7344-fdd0-e050-11ac0c484cab	Prost-AdenoCA	AICDA_canonical	Early	210	210	MSS
0bfd1043-7344-fdd0-e050-11ac0c484cab	Prost-AdenoCA	AICDA_canonical	Late	236	-236	MSS
0bfd1043-7346-fdd0-e050-11ac0c484cab	Prost-AdenoCA	AICDA_canonical	Early	91	91	MSS
0bfd1043-7346-fdd0-e050-11ac0c484cab	Prost-AdenoCA	AICDA_canonical	Late	139	-139	MSS
0bfd1043-7ebf-aaec-e050-11ac0c482f39	Prost-AdenoCA	AICDA_canonical	Early	133	133	MSS
0bfd1043-7ebf-aaec-e050-11ac0c482f39	Prost-AdenoCA	AICDA_canonical	Late	177	-177	MSS
0bfd1043-7ec1-aaec-e050-11ac0c482f39	Prost-AdenoCA	AICDA_canonical	Early	91	91	MSS
0bfd1043-7ec1-aaec-e050-11ac0c482f39	Prost-AdenoCA	AICDA_canonical	Late	120	-120	MSS
0bfd1043-7ed6-9ccc-e050-11ac0c481957	Prost-AdenoCA	AICDA_canonical	Early	89	89	MSS
0bfd1043-7ed6-9ccc-e050-11ac0c481957	Prost-AdenoCA	AICDA_canonical	Late	132	-132	MSS
0bfd1043-816e-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	229	229	MSS
0bfd1043-816e-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	241	-241	MSS
0bfd1043-8170-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	138	138	MSS
0bfd1043-8170-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	205	-205	MSS
0bfd1043-8172-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	122	122	MSS
0bfd1043-8172-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	190	-190	MSS
0bfd1043-8173-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	136	136	MSS
0bfd1043-8173-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	209	-209	MSS
0bfd1043-8175-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	128	128	MSS
0bfd1043-8175-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	208	-208	MSS
0bfd1043-8177-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	96	96	MSS
0bfd1043-8177-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	117	-117	MSS
0bfd1043-817c-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	87	87	MSS
0bfd1043-817c-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	122	-122	MSS
0bfd1043-817e-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	406	406	MSS
0bfd1043-817e-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	360	-360	MSS
0bfd1043-8180-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	244	244	MSS
0bfd1043-8180-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	298	-298	MSS
0bfd1043-8181-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	272	272	MSS
0bfd1043-8181-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	302	-302	MSS
0bfd1043-8183-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	426	426	MSS
0bfd1043-8183-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	392	-392	MSS
0bfd1043-8187-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	219	219	MSS
0bfd1043-8187-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	250	-250	MSS
0bfd1043-8189-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Early	179	179	MSS
0bfd1043-8189-e3e4-e050-11ac0c4860c5	Prost-AdenoCA	AICDA_canonical	Late	198	-198	MSS
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	144	144	MSS
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	246	-246	MSS
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	100	100	MSS
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	168	-168	MSS
0bfd1068-3fca-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	85	85	MSS
0bfd1068-3fca-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	113	-113	MSS
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	94	94	MSS
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	128	-128	MSS
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	118	118	MSS
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	137	-137	MSS
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	147	147	MSS
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	203	-203	MSS
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	85	85	MSS
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	114	-114	MSS
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	132	132	MSS
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	176	-176	MSS
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	123	123	MSS
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	175	-175	MSS
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	243	243	MSS
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	294	-294	MSS
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	261	261	MSS
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	302	-302	MSS
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	172	172	MSS
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	196	-196	MSS
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Early	166	166	MSS
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	Prost-AdenoCA	AICDA_canonical	Late	209	-209	MSS
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Early	92	92	MSS
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Late	141	-141	MSS
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Early	100	100	MSS
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Late	149	-149	MSS
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Early	409	409	MSS
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Late	392	-392	MSS
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Early	125	125	MSS
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Late	179	-179	MSS
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Early	127	127	MSS
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Late	175	-175	MSS
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Early	148	148	MSS
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	Prost-AdenoCA	AICDA_canonical	Late	179	-179	MSS
