SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	AICDA_canonical	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS40	SBS41	SBS42	SBS44
Myeloid-AML (n = 18 )	0.175433353257621	0	0.0211529521152952	0	0.2452015673773	0	0	0	0	0	0.0222155807929867	0.0552566912399548	0.0358637178720861	0	0	0	0.025635916849306	0	0	0	0.00351995749485289	0	0	0.0540944411237298	0.0239091452480574	0	0	0	0	0.00259015740187288	0.0190609019060902	0	0	0.00385202895663147	0.00401806468752075	0.10028558145713	0.0343693962940825	0	0	0.0169688516968852	0	0.0521352194992362	0	0.104436474729362	0	0	0
Liver-HCC (n = 339 )	0.00309332070915633	0	0.00762956668534182	0.0147982146779898	0.0266035798396888	0.00017284450976018	0	0	0	0	0.0866231972658212	0.034791982058229	0	0	0	0	0.305109158829062	0	0	0.00155418150319663	0.0823960279253153	0	0.000644264428826945	0.00117585353684142	0.0119078230730675	0	0.00297610431747989	0.00807941651780469	0	0.00150366208983487	0.00481041312959819	0.0080771459823727	0	0.000394221714379131	0.00665579080194744	0.00265028248298943	0	0	0	0.009066815613791	0.00089828058028074	0.00319861678981483	0	0.36990882097339	0	0	0.00528041396401996
CNS-Medullo (n = 157 )	0.254570132636932	0	0.0733540650127139	0	0.0883100817813209	0.0023709710672806	0	0	0	0	0.119609477011889	0.0537849632327675	0	0	0	0	0.0174257782970243	0	0	0.0118892172359288	0.000111676173458869	0	0	0.0345766613978421	0.000193285684832658	0.00170950450140884	0	0	0	0	0	0.000700123702838293	0	5.15428492887087e-05	0.0285289670813003	0.0053604563260257	0.00566541818431723	0	0	0.0013358188440657	0.00705277987767164	0.0485791354546079	0	0.239038554051268	0	0.00459590406157652	0.0011854855336403
CNS-PiloAstro (n = 89 )	0.227954770196483	0	0.0244636484801582	0.0089857689496539	0.0565372543961477	0.00391246399243304	0	0	0	0	0.117158949223956	0.0534846725998538	0	0	0	0	0.0361150522378434	0	0	0.00786792209467303	0.0270003009587686	0	0	0.0123823036244035	0.049400232168193	0	0.00511629906702782	0	0.0338793585278817	0	0.0312567178296573	0.00537426372586956	0	0.00429941098069564	0.0293649769981513	0	0.0190893847542887	0	0	0	0	0.0499161614858764	0	0.179457414334236	0	0.0150479384324348	0.00193473494131304
Ovary-AdenoCA (n = 164 )	0.0244638595506082	0.00553791588561236	0.293392899906686	0.00121906405608727	0.113146898767104	0.000463471431992535	0	0.000556372164463199	0	0	0.171446237313889	0.0510541136444338	0	0	0	0	0	0.0183045409878032	0	0.00349822869270089	2.6837989380414e-05	0	0	0.000568758928792621	0	0	0	0	0	0.000301411265349265	0	0.0228535801877833	0	0.00173311477575828	0	0.0119841944887157	0	0	0.00339190896554002	0.0290469623524943	0.00227503571517048	0.0388913433033023	0	0.205843249626333	0	0	0
Panc-Endocrine (n = 86 )	0.0375354905788645	0.0293013127424356	0.0874277010102773	0	0.170918265333202	0.0194602887233571	0	0	0	0.00183587629465633	0.135920282979427	0.0474492225700087	0	0	0	0	0.0178570779393107	0.0250260839849785	0	0.00638739534596271	0.00547127489793618	0	0	0.0210744057032133	0.00233756130190895	0	0	0	0	0	0.0193730391568784	0.0031409843932338	0	0.000570757580714937	0.0333111574018533	0.0134800580209617	0.00443882169460471	0.000654371748590374	0	0	0.149803870245353	0.00712174586382524	0	0.153450175044443	0	0	0.00665277944400214
Kidney-RCC (n = 196 )	0.0191101008588656	0	0.00444480740932306	0.0156982309999229	0.0317624515857784	0.00059889204970804	0	0	0.00146395834373076	0	0.00504974887367461	0.0402452432696481	0	0	0	0	0.00782794254870913	0	0	0	0.00244093880865853	0	0	0.00352075932252605	0.000644262659534407	0	0.00429659675055692	0.156787216376975	0	0.000291884256549626	0	0.000390187244506753	1.20988292870311e-05	0.000213241866183923	0	0.000668460318108469	0	0	0.0057242586064266	0	0	0.00726837169418394	0	0.677227432280584	0.00367804410325746	0	0.0106348709433003
Lymph-CLL (n = 109 )	0.102380096244329	0	0.019516636191846	0	0.178377158420614	0.000615871898645082	0	0	0	0	0.216871064731579	0.0438454888339747	0.19867415403683	0	0	0	0.0509184524401533	0	0	0.00182083865686372	0.000447559081624066	0	0.00143448423597457	0.0141344513384694	0.00550076888355048	0	0	0	0.000677076559379997	0	0.0250021039102128	0.000952497532687114	0	0	0.0317116648432778	0	0.000742106511410844	0	0	0	0	0.0213642518877813	0	0.0839880956934871	0	0	0.00102517806730983
Bone-Epith (n = 10 )	0.108365508365508	0.0470613470613471	0.0427713427713428	0	0.223294723294723	0	0	0	0	0	0.126254826254826	0.0536679536679537	0	0	0	0	0.0376233376233376	0.0362076362076362	0	0	0	0	0.00832260832260832	0.0158301158301158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0115401115401115	0	0.289060489060489	0	0	0
Bone-Benign (n = 16 )	0.129175516508979	0	0.00617879899594516	0	0.114983587565167	0	0	0	0	0	0.333075883375169	0.0502992855763661	0	0	0	0	0.0167020660359143	0	0	0	0.0109094419772157	0	0	0.00502027418420545	0	0	0	0	0	0.00154469974898629	0	0	0	0	0.0319559760571539	0.00444101177833559	0.00975091716547596	0	0	0	0	0.0581193280556092	0	0.21741648966982	0	0	0.0104267233056575
Bone-Osteosarc (n = 38 )	0.0243163866542622	0.0141131116340442	0.171795666952456	0	0.0208808381522222	0	0	0.0121490724019044	0	0	0.2275184394705	0.0495874301489143	0	0	0	0	0.044467550788352	0.0127084891491393	0	0	0	0	0.0233982135147789	0.0307557598642806	0	0	0	0	0	0	0.0306159056774719	0	0	0.00248089166165016	0.0248818840183148	0.00623263223821424	0	0	0	0	0	0.0607027976917979	0	0.21524775473224	0.0233799716643256	0	0.00476720358513168
Myeloid-MPN (n = 51 )	0.206220128597462	0	0.128992882439913	0.000808032183749957	0.123903998899701	0	0	0.00366193308805832	0	0	0.0956744489908194	0.0619434033627893	0.02865935426194	0	0	0.00312897569026579	0.0171577897740948	0	0	0.000997146099095692	0.00603445311694117	0	0	0	0.0813705601210329	0	0	0	0	0	0.0126190558057972	0	0	0.00857889488704742	0.0120345218856377	0.0137365471237493	0.0618918268404222	0	0	0	0	0.0547742667537737	0.000446996527180827	0.050888835402125	0	0	0.0264759481484028
Myeloid-MDS (n = 3 )	0.160919540229885	0	0.0371352785145889	0	0.362953138815208	0	0	0	0	0	0	0.0671971706454465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144120247568523	0.0610079575596817	0	0	0	0	0	0	0.0822281167108753	0	0	0.0844385499557913
Skin-Melanoma (n = 40 )	0.00181778120524402	0	0	0.0980132936726525	0	0	0.256435679923616	0.387334288127502	0	0	0	0.079890565899159	0	0	0.00183614263155962	0	0	0	0	0	0	0	0	0	0	0.0272116337997136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0086665932209614	0	0.138794021519592	0	0	0	0
CNS-GBM (n = 52 )	0.206272031117054	0	0.118998419837122	0	0	0.00668530448523156	0	0.154491309104169	0	0	0.0234593411936307	0.0771848790567643	0	0	0	0.251732101616628	0	0	0	0.0574936185729914	0	0	0	0	0	0	0	0	0.0390178679956242	0.0178679956241643	0.0273489728941291	0	0	0	0	0.0194481585024918	0	0	0	0	0	0	0	0	0	0	0
Thy-AdenoCA (n = 50 )	0.150943396226415	0.0533506831489915	0	0.264150943396226	0	0	0	0	0	0	0	0.0546519193233572	0	0	0	0	0	0.0611581001951854	0	0.108002602472349	0	0	0	0	0	0.0611581001951854	0	0	0	0	0	0	0	0	0.146389069616135	0	0	0	0	0	0	0	0.100195185426155	0	0	0	0
Lung-SCC (n = 72 )	0.0210849909584087	0.0410488245931284	0.125895117540687	0.346654611211573	0.0228571428571429	0.010994575045208	0.0091500904159132	0.0150813743218807	0	0	0.0044122965641953	0.049620253164557	0	0	0.00582278481012658	0	0.00361663652802893	0.0815551537070524	0	0.00578661844484629	0.00213381555153707	0	0	0.0117902350813743	0.00397830018083183	0.0145388788426763	0	0	0	0.105641952983725	0.0405786618444846	0.0379385171790235	0	0.0125858951175407	0.00585895117540687	0	0	0	0	0	0	0	0.021374321880651	0	0	0	0
Lung-AdenoCA (n = 51 )	0.0191920610401161	0.0389926508449188	0.100688105603146	0.500163834667416	0	0.00308945372840893	0.00477461030754108	0.0158217478818518	0	0	0	0.0425033937181108	0	0	0.00486823011749286	0	0	0.0513972756635304	0	0.00337031315826429	0	0	0.00449375087768572	0.00669381641155268	0	0	0	0	0	0.105135046575855	0.00861302251556429	0.0128727238683705	0	0	0	0	0	0	0	0	0	0	0.0773299630201751	0	0	0	0
ColoRect-AdenoCA (n = 89 )	0.0879359417783542	0	0.0101689724744199	0.00198155353797377	0	0.0322813085459	0	0.00507998270644185	0	0	0.00214368064562617	0.0828739731949849	0	0.232148004035164	0.25333261276841	0	0	0	0.00139609453811788	0.163298025652111	0	0	0	0.00424232598357112	0	0.0097546476437527	0.00809734832108373	0	0	0.000792621415189509	0	0.0316237930537541	0.0510430177258971	0.0029813373684969	0	0	0	0	0	0	0.00138708747658164	0.0174376711341692	0	0	0	0	0
Bladder-TCC (n = 25 )	0.0754207888988822	0.181292560709238	0.0962353848130541	0.0352049338301426	0.0511370936656816	0.0188873185147116	0.0393164589489914	0.00835153539766157	0	0	0	0.0917384042143132	0	0	0.0719516895798535	0	0	0.245406655531286	0	0.00950790183733779	0	0	0	0	0	0	0	0	0	0.010792753436978	0	0.0170885262752152	0	0.0177309520750353	0.0111782089168701	0.0136194269561866	0	0	0	0.00513940639856097	0	0	0	0	0	0	0
Cervix-SCC (n = 34 )	0.185325525318636	0.130554598691009	0.104719255942129	0	0	0.0420254908715122	0.0458146744746814	0	0	0	0	0.0981743024457458	0	0	0.0823286255597658	0	0	0.20392697209783	0	0.0561488115742335	0	0	0	0	0	0	0	0	0	0.0175680330692387	0	0	0	0.0334137099552187	0	0	0	0	0	0	0	0	0	0	0	0	0
SoftTissue-Liposarc (n = 34 )	0.11001100110011	0.0212687935460213	0.356435643564356	0.0473047304730473	0	0.0564723138980565	0.0381371470480381	0.0429042904290429	0	0	0.0498716538320499	0.0594059405940594	0	0	0	0	0	0.0597726439310598	0	0.037037037037037	0.0194352768610194	0	0	0	0.0143014301430143	0	0	0	0	0.0223689035570224	0	0	0	0.0249358269160249	0.0282361569490282	0	0.0121012101210121	0	0	0	0	0	0	0	0	0	0
Uterus-AdenoCA (n = 80 )	0.161797975461136	0.00696864111498258	0.021682051620787	0.00619251283914329	0.00563105834172763	0.0241095166537312	0.0033191868817808	0.00340175371963605	0	0	0.00520171078488036	0.0688112026685602	0	0.0178839770794458	0.0124180524134287	0	0	0.0148290040788018	0.135789421536734	0.404230724771703	0	0	0	0	0	0.0142675495813861	0.0040292616873359	0	0	0.00204765757881005	0	0.0568720379146919	0	0.0026421388113678	0	0	0	0	0	0	0.00130455603811285	0.00257608534108361	0	0	0	0	0.0239939230807339
CNS-Oligo (n = 19 )	0.0656868626274745	0	0	0	0	0.0206958608278344	0	0.176064787042591	0	0	0	0.104379124175165	0	0	0	0.36622675464907	0	0	0	0.0266946610677864	0.00749850029994001	0	0	0	0	0	0	0	0.110677864427115	0	0	0.031493701259748	0	0	0	0.0773845230953809	0	0	0	0	0	0	0	0	0	0.0131973605278944	0
Kidney-ChRCC (n = 45 )	0.341889483065954	0	0.200713012477718	0	0	0.0306595365418895	0	0	0	0	0	0.06524064171123	0	0	0	0	0	0	0	0.212121212121212	0	0.0253119429590018	0	0	0	0	0	0	0	0	0	0.0773618538324421	0	0.0467023172905526	0	0	0	0	0	0	0	0	0	0	0	0	0
