SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	AICDA_canonical	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS40	SBS41	SBS42	SBS44
Skin-Melanoma	0.016	0	0	0.185	0	0	0.249	0.321	0	0	0	0.067	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472	0	0.18	0	0	0	0
CNS-GBM	0.034	0	0.0185	0	0	0.014	0	0.008	0	0	0.008	0.004	0	0	0	0.007	0	0	0	0.0145	0	0	0	0	0	0	0	0	0.1605	0.007	0.0095	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0
Thy-AdenoCA	0.005	0.002	0	0.006	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.002	0	0.005	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0.005	0	0	0	0
Lung-SCC	0.023	0.033	0.066	0.11	0.059	0.021	0.032	0.03	0	0	0.023	0.0165	0	0	0.0235	0	0.0235	0.0495	0	0.022	0.011	0	0	0.0225	0.029	0.111	0	0	0	0.065	0.0425	0.038	0	0.0365	0.0235	0	0	0	0	0	0	0	0.0285	0	0	0	0
Lung-AdenoCA	0.02	0.043	0.066	0.219	0	0.013	0.017	0.0205	0	0	0	0.013	0	0	0.007	0	0	0.0485	0	0.007	0	0	0.048	0.02	0	0	0	0	0	0.046	0.015	0.0115	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0
ColoRect-AdenoCA	0.06	0	0.029	0.0125	0	0.031	0	0.012	0	0	0.015	0.01	0	1.957	0.014	0	0	0	0.015	0.0445	0	0	0	0.022	0	0.142	0.277	0	0	0.02	0	0.086	2.382	0.018	0	0	0	0	0	0	0.0145	0.0125	0	0	0	0	0
Bladder-TCC	0.0295	0.033	0.058	0.025	0.085	0.024	0.041	0.014	0	0	0	0.018	0	0	0.029	0	0	0.0945	0	0.0185	0	0	0	0	0	0	0	0	0	0.0145	0	0.016	0	0.016	0.02	0.035	0	0	0	0.02	0	0	0	0	0	0	0
Cervix-SCC	0.017	0.012	0.0125	0	0	0.008	0.006	0	0	0	0	0.0075	0	0	0.0105	0	0	0.019	0	0.011	0	0	0	0	0	0	0	0	0	0.0075	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
SoftTissue-Liposarc	0.011	0.007	0.021	0.0145	0	0.012	0.0085	0.009	0	0	0.0125	0.005	0	0	0	0	0	0.0075	0	0.011	0.005	0	0	0	0.005	0	0	0	0	0.007	0	0	0	0.006	0.008	0	0.007	0	0	0	0	0	0	0	0	0	0
Uterus-AdenoCA	0.0195	0.009	0.023	0.013	0.017	0.012	0.009	0.008	0	0	0.011	0.008	0	1.083	0.007	0	0	0.0105	2.034	0.027	0	0	0	0	0	0.067	0.0565	0	0	0.01	0	0.0525	0	0.0125	0	0	0	0	0	0	0.018	0.008	0	0	0	0	0.092
CNS-Oligo	0.013	0	0	0	0	0.011	0	0.0055	0	0	0	0.003	0	0	0	0.004	0	0	0	0.0065	0.006	0	0	0	0	0	0	0	0.006	0	0	0.006	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0.005	0
Kidney-ChRCC	0.007	0	0.011	0	0	0.0075	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.007	0	0.003	0	0	0	0	0	0	0	0	0	0.006	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0
