Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR007110:Immunoglobulin-like domain	12	19.047619047619047	4.200641426759106E-9	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV1-24, IGHV4-39, TRBV5-3, IGHV3-7, IGLV4-60, IGHV1-18	28	771	18559	10.316286826014451	1.428217973886703E-7	7.141090425490481E-8	7.141090425490481E-8
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	8	12.698412698412698	7.134957981649043E-9	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	20	255	16881	26.48	1.2842923546863005E-7	6.421462183484139E-8	5.7079663853192347E-8
INTERPRO	IPR013783:Immunoglobulin-like fold	12	19.047619047619047	3.693075141177244E-8	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV1-24, IGHV4-39, TRBV5-3, IGHV3-7, IGLV4-60, IGHV1-18	28	951	18559	8.36367733213159	1.2556447843703467E-6	4.185485160000877E-7	4.185485160000877E-7
UP_KEYWORDS	Adaptive immunity	7	11.11111111111111	1.6806582888945874E-7	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGKV4-1, IGHV4-39, IGHV3-7	31	174	20581	26.708750463477937	7.899063425242936E-6	3.949546978902281E-6	3.949546978902281E-6
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	18	28.57142857142857	2.48170081481683E-7	TAS2R7, OR5F1, RTP2, IGKV5-2, IGKV1-5, IGHV4-34, OR6M1, IGHV4-39, MBD3L1, OR13C8, IGLV3-21, OR5AC1, GFRAL, IGKV4-1, OR4C12, IGLC3, IGHV3-7, XKR3	24	4121	18224	3.3166707109924776	3.722544755446755E-6	3.7225512222252447E-6	3.7225512222252447E-6
GOTERM_BP_DIRECT	GO:0006508~proteolysis	8	12.698412698412698	1.6102337121249022E-6	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	22	500	16792	12.212363636363635	7.728829351749678E-5	1.10416025974279E-5	8.971302110410169E-6
GOTERM_BP_DIRECT	GO:0006955~immune response	7	11.11111111111111	9.447286485366811E-6	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGKV4-1, IGHV4-39, IGHV3-7	22	421	16792	12.690995465342258	4.533690904996446E-4	5.668371891220087E-5	4.6055521616163205E-5
UP_KEYWORDS	Immunoglobulin domain	8	12.698412698412698	1.0659277282914625E-5	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	31	546	20581	9.72751979203592	5.008632285063985E-4	1.669953440989958E-4	1.669953440989958E-4
INTERPRO	IPR003599:Immunoglobulin subtype	7	11.11111111111111	6.561466949377048E-5	IGLV3-21, IGKV1-5, IGHV4-34, IGKV4-1, IGHV4-39, IGHV3-7, IGLV4-60	28	497	18559	9.335513078470825	0.002228485187544371	5.57724690697049E-4	5.57724690697049E-4
UP_KEYWORDS	Immunity	7	11.11111111111111	7.213899556980779E-5	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGKV4-1, IGHV4-39, IGHV3-7	31	500	20581	9.294645161290322	0.003384913312797111	8.476331979452416E-4	8.476331979452416E-4
SMART	SM00409:IG	7	11.11111111111111	7.401155922863155E-5	IGLV3-21, IGKV1-5, IGHV4-34, IGKV4-1, IGHV4-39, IGHV3-7, IGLV4-60	17	497	10057	8.332228666114334	6.659068695159531E-4	3.3305201652884196E-4	3.3305201652884196E-4
UP_SEQ_FEATURE	disulfide bond	11	17.46031746031746	1.889592644217186E-4	OR5F1, OR13C8, IGLV3-21, OR5AC1, DEFB116, IGKV1-5, OR6M1, OR4C12, IGLC3, IGKV4-1, IGHV3-7	21	2917	20063	3.6027392787763035	0.00996579637293471	0.010203800278772804	0.008881085427820774
UP_KEYWORDS	Cell membrane	14	22.22222222222222	2.4463000458346026E-4	OR5F1, RTP2, IGKV5-2, IGKV1-5, IGHV4-34, OR6M1, IGHV4-39, OR13C8, IGLV3-21, OR5AC1, IGKV4-1, OR4C12, IGHV3-7, XKR3	31	3175	20581	2.9274472948945895	0.011433155768965086	0.0022995220430845264	0.0022995220430845264
GOTERM_CC_DIRECT	GO:0005576~extracellular region	9	14.285714285714285	5.332563719439827E-4	IGLV3-21, DEFB116, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	24	1610	18224	4.24472049689441	0.007969056416607945	0.003999422789579871	0.003999422789579871
UP_KEYWORDS	Disulfide bond	14	22.22222222222222	5.402578071804162E-4	OR5F1, DEFB116, IGKV5-2, IGKV1-5, IGHV4-34, OR6M1, IGHV4-39, OR13C8, IGLV3-21, OR5AC1, IGKV4-1, OR4C12, IGLC3, IGHV3-7	31	3434	20581	2.706652638698405	0.025079138093248243	0.004232019489579927	0.004232019489579927
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	4	6.349206349206349	8.913022519995613E-4	IGLV3-21, IGKV1-5, IGLC3, IGKV4-1	24	152	18224	19.982456140350877	0.013286441022232753	0.004456511259997806	0.004456511259997806
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	6	9.523809523809524	9.224366923486094E-4	TAS2R7, OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	20	710	16881	7.13281690140845	0.016474312638030564	0.005389861367425077	0.004790987882155624
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	5	7.936507936507936	0.001197746970538906	OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	20	431	16881	9.791763341067286	0.021341347849540226	0.005389861367425077	0.004790987882155624
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	5	7.936507936507936	0.001720241674006387	OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	22	425	16792	8.979679144385026	0.0793199557469556	0.009174622261367397	0.00745438058736101
UP_KEYWORDS	Sensory transduction	6	9.523809523809524	0.0017220778431887734	TAS2R7, OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	31	609	20581	6.54091848085174	0.07781315970601022	0.011562522661410337	0.011562522661410337
KEGG_PATHWAY	hsa04740:Olfactory transduction	4	6.349206349206349	0.0017740455230711505	OR5F1, OR13C8, OR6M1, OR4C12	6	399	6879	11.493734335839598	0.005312700440002316	0.005322136569213451	0.005322136569213451
INTERPRO	IPR000725:Olfactory receptor	5	7.936507936507936	0.0032687780741525153	OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	28	430	18559	7.707225913621262	0.10534802832910639	0.021411394158464766	0.021411394158464766
UP_KEYWORDS	Olfaction	5	7.936507936507936	0.003725229135692581	OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	31	443	20581	7.493264399621349	0.1608893507074678	0.021885721172193912	0.021885721172193912
INTERPRO	IPR017452:GPCR, rhodopsin-like, 7TM	6	9.523809523809524	0.0037784813220820175	TAS2R7, OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	28	736	18559	5.403435559006211	0.12077257717678391	0.021411394158464766	0.021411394158464766
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	6	9.523809523809524	0.004315674461376364	TAS2R7, OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	22	899	16792	5.094145009606633	0.18746855623021907	0.020715237414606544	0.016831130399367816
UP_KEYWORDS	G-protein coupled receptor	6	9.523809523809524	0.006891664928398412	TAS2R7, OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	31	842	20581	4.7309018466017925	0.27749398940563097	0.0359898057371917	0.0359898057371917
UP_SEQ_FEATURE	region of interest:Complementarity-determining-3	2	3.1746031746031744	0.006958222968181264	IGKV1-5, IGKV4-1	21	7	20063	272.96598639455783	0.30931736705395585	0.05365232094389949	0.04669739045117178
UP_SEQ_FEATURE	region of interest:Framework-3	2	3.1746031746031744	0.007948491991688813	IGKV1-5, IGKV4-1	21	8	20063	238.8452380952381	0.3448907290856895	0.05365232094389949	0.04669739045117178
UP_SEQ_FEATURE	chain:Ig lambda chain C regions	2	3.1746031746031744	0.007948491991688813	IGLV3-21, IGLC3	21	8	20063	238.8452380952381	0.3448907290856895	0.05365232094389949	0.04669739045117178
UP_SEQ_FEATURE	region of interest:Framework-2	2	3.1746031746031744	0.007948491991688813	IGKV1-5, IGKV4-1	21	8	20063	238.8452380952381	0.3448907290856895	0.05365232094389949	0.04669739045117178
UP_SEQ_FEATURE	region of interest:Complementarity-determining-1	2	3.1746031746031744	0.007948491991688813	IGKV1-5, IGKV4-1	21	8	20063	238.8452380952381	0.3448907290856895	0.05365232094389949	0.04669739045117178
UP_SEQ_FEATURE	region of interest:Complementarity-determining-2	2	3.1746031746031744	0.007948491991688813	IGKV1-5, IGKV4-1	21	8	20063	238.8452380952381	0.3448907290856895	0.05365232094389949	0.04669739045117178
UP_SEQ_FEATURE	region of interest:Framework-1	2	3.1746031746031744	0.007948491991688813	IGKV1-5, IGKV4-1	21	8	20063	238.8452380952381	0.3448907290856895	0.05365232094389949	0.04669739045117178
UP_KEYWORDS	Transducer	6	9.523809523809524	0.009028822474006711	TAS2R7, OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	31	899	20581	4.430944777351178	0.3470677959898092	0.04243546562783154	0.04243546562783154
UP_KEYWORDS	Signal	13	20.634920634920633	0.01028555251851866	DEFB116, IGKV5-2, IGKV1-5, IGHV4-34, IGHV4-39, IGHV1-24, TRBV5-3, IGLV4-60, IGHV1-18, IGLV3-21, GFRAL, IGKV4-1, IGHV3-7	31	4160	20581	2.0746975806451613	0.38487161342260445	0.04394736076094336	0.04394736076094336
GOTERM_BP_DIRECT	GO:0002377~immunoglobulin production	2	3.1746031746031744	0.012439125020344092	IGKV1-5, IGKV4-1	22	10	16792	152.65454545454546	0.4516396585703244	0.054279818270592396	0.04410235234485632
UP_SEQ_FEATURE	topological domain:Extracellular	8	12.698412698412698	0.014681003098730659	TAS2R7, OR5F1, RTP2, OR13C8, OR5AC1, GFRAL, OR6M1, OR4C12	21	2787	20063	2.742392400088848	0.5433606108640254	0.08808601859238395	0.07666746062670456
INTERPRO	IPR000276:G protein-coupled receptor, rhodopsin-like	5	7.936507936507936	0.019293761300902174	OR5F1, OR13C8, OR5AC1, OR6M1, OR4C12	28	719	18559	4.609328432346513	0.4843869584820174	0.09371255489009626	0.09371255489009626
UP_KEYWORDS	Secreted	8	12.698412698412698	0.02046310724003842	IGLV3-21, DEFB116, IGKV5-2, IGKV1-5, IGHV4-34, IGKV4-1, IGHV4-39, IGHV3-7	31	1965	20581	2.7029138964130346	0.621577029203384	0.08014717002348382	0.08014717002348382
UP_SEQ_FEATURE	sequence variant	18	28.57142857142857	0.024496978592842864	TAS2R7, OR5F1, RTP2, DEFB116, DBX2, OR6M1, KIAA1210, KRTAP19-8, MBD3L1, CRNN, OR13C8, IGLV3-21, GFRAL, OR4C12, IGLC3, PIM2, IGHV3-7, XKR3	21	12443	20063	1.3820507227241936	0.7313933256516856	0.13228368440135146	0.11513579938636147
UP_KEYWORDS	Receptor	7	11.11111111111111	0.029301689661370173	TAS2R7, OR5F1, OR13C8, OR5AC1, GFRAL, OR6M1, OR4C12	31	1648	20581	2.8199772940808017	0.7528498592231003	0.10593687800649217	0.10593687800649217
UP_KEYWORDS	Membrane	17	26.984126984126984	0.04324435208566281	TAS2R7, OR5F1, RTP2, IGKV5-2, IGKV1-5, IGHV4-34, OR6M1, IGHV4-39, OR13C8, IGLV3-21, OR5AC1, GFRAL, IGKV4-1, OR4C12, IGHV3-7, XKR3, SLC15A5	31	7494	20581	1.5060521535507976	0.8747872287643119	0.14517746771615372	0.14517746771615372
UP_SEQ_FEATURE	topological domain:Cytoplasmic	8	12.698412698412698	0.043482351233313024	TAS2R7, OR5F1, RTP2, OR13C8, OR5AC1, GFRAL, OR6M1, OR4C12	21	3456	20063	2.2115299823633157	0.9052174596375977	0.21345881514535484	0.1857882279968829
GOTERM_BP_DIRECT	GO:0001580~detection of chemical stimulus involved in sensory perception of bitter taste	2	3.1746031746031744	0.048878421631142796	TAS2R7, RTP2	22	40	16792	38.163636363636364	0.9097744230171785	0.19551368652457118	0.1588548703012141
UP_SEQ_FEATURE	domain:Ig-like	2	3.1746031746031744	0.04965360217666463	IGLV3-21, IGLC3	21	51	20063	37.46591970121382	0.9327422329989278	0.22344120979499085	0.1944766085252698
GOTERM_MF_DIRECT	GO:0005549~odorant binding	2	3.1746031746031744	0.09867295897382104	OR5F1, OR5AC1	20	92	16881	18.348913043478262	0.8458714075655029	0.3552226523057558	0.31575346871622734
