id	variable	type	.y.	group1	group2	p	p.adj	p.format	p.signif	method	FC	Log2FC	Group_AID
BLCASTK24	STK24	BLCA	value	Absence	Presence	0.255022244733162	1	0.25502	ns	Wilcoxon	0.89822301955152	-0.154854399081094	-1
BLCAT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	BLCA	value	Absence	Presence	0.616653911265735	1	0.61665	ns	Wilcoxon	0.833893733284521	-0.262064548425491	-1
BLCAT.Cells.CD8.x	T.Cells.CD8.x	BLCA	value	Absence	Presence	0.50091144924129	1	0.50091	ns	Wilcoxon	1.10815250659716	0.14815644219112	1
BLCAT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	BLCA	value	Absence	Presence	0.42257609067619	1	0.42258	ns	Wilcoxon	0.870279306204802	-0.200449603112262	-1
BLCATIM3_exp	TIM3_exp	BLCA	value	Absence	Presence	0.272615678660233	1	0.27262	ns	Wilcoxon	1.04034147655061	0.0570571491984472	1
BRCACCR5	CCR5	BRCA	value	Absence	Presence	0.728988535474779	1	0.72899	ns	Wilcoxon	0.965075829718096	-0.0512857899572351	-1
BRCACTLA4_exp	CTLA4_exp	BRCA	value	Absence	Presence	0.0368103162759421	1	0.03681	*	Wilcoxon	1.04179426713929	0.0590704032566616	1
BRCACXCL13	CXCL13	BRCA	value	Absence	Presence	0.418377852435018	1	0.41838	ns	Wilcoxon	0.687536000386541	-0.540492837770929	-1
BRCADOCK2	DOCK2	BRCA	value	Absence	Presence	0.871710982167607	1	0.87171	ns	Wilcoxon	0.940886102620394	-0.0879080043777776	-1
BRCALAG3_exp	LAG3_exp	BRCA	value	Absence	Presence	0.0749847942443536	1	0.07498	ns	Wilcoxon	1.03859591778768	0.0546344600212544	1
BRCALymphocytes.x	Lymphocytes.x	BRCA	value	Absence	Presence	0.268337995215586	1	0.26834	ns	Wilcoxon	1.05721529798922	0.0802692061548301	1
BRCAMacrophages	Macrophages	BRCA	value	Absence	Presence	0.717249623561249	1	0.71725	ns	Wilcoxon	0.979359648657136	-0.0300893391934501	-1
BRCANK.Cells.Activated	NK.Cells.Activated	BRCA	value	Absence	Presence	0.0245893422765915	1	0.02459	*	Wilcoxon	1.25586791241542	0.328684734831299	1
BRCAPD1_exp	PD1_exp	BRCA	value	Absence	Presence	0.192461502527809	1	0.19246	ns	Wilcoxon	1.02721776641609	0.0387420601611774	1
BRCAPDL1_exp	PDL1_exp	BRCA	value	Absence	Presence	0.132740848845795	1	0.13274	ns	Wilcoxon	1.01734742359693	0.0248124429185008	1
BRCAPDL2_exp	PDL2_exp	BRCA	value	Absence	Presence	0.116774492401911	1	0.11677	ns	Wilcoxon	1.02073888071616	0.0296138518412648	1
BRCAPRKCQ	PRKCQ	BRCA	value	Absence	Presence	0.826388903212469	1	0.82639	ns	Wilcoxon	1.05621196904354	0.0788993953024471	1
BRCASTK24	STK24	BRCA	value	Absence	Presence	0.648292092000022	1	0.64829	ns	Wilcoxon	1.04233041504318	0.0598126793266116	1
BRCAT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	BRCA	value	Absence	Presence	0.900742511891688	1	0.90074	ns	Wilcoxon	1.50091374895039	0.585841073869445	1
BRCAT.Cells.CD8.x	T.Cells.CD8.x	BRCA	value	Absence	Presence	0.414233406491397	1	0.41423	ns	Wilcoxon	1.04488195258756	0.0633399604530536	1
BRCAT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	BRCA	value	Absence	Presence	0.0540560908125499	1	0.05406	ns	Wilcoxon	1.16306579485408	0.217932712653582	1
BRCATIM3_exp	TIM3_exp	BRCA	value	Absence	Presence	0.796023242860892	1	0.79602	ns	Wilcoxon	0.995733637017214	-0.00616822804390637	-1
CESCCCR5	CCR5	CESC	value	Absence	Presence	0.537794999616101	1	0.53779	ns	Wilcoxon	1.37100352540725	0.455232280877176	1
CESCCTLA4_exp	CTLA4_exp	CESC	value	Absence	Presence	0.275044772223062	1	0.27504	ns	Wilcoxon	1.03073753963364	0.0436770208986296	1
CESCCXCL13	CXCL13	CESC	value	Absence	Presence	0.105241661021556	1	0.10524	ns	Wilcoxon	2.27776244514073	1.18761729178333	1
CESCDOCK2	DOCK2	CESC	value	Absence	Presence	0.89127143673725	1	0.89127	ns	Wilcoxon	1.18419357283614	0.243904928724049	1
CESCLAG3_exp	LAG3_exp	CESC	value	Absence	Presence	0.211060068883095	1	0.21106	ns	Wilcoxon	1.04353975747298	0.061485566301734	1
CESCLymphocytes.x	Lymphocytes.x	CESC	value	Absence	Presence	0.412966872239588	1	0.41297	ns	Wilcoxon	1.04011438925112	0.0567422011839269	1
CESCMacrophages	Macrophages	CESC	value	Absence	Presence	0.802956052643294	1	0.80296	ns	Wilcoxon	0.976866130666615	-0.033767225484086	-1
CESCNK.Cells.Activated	NK.Cells.Activated	CESC	value	Absence	Presence	0.191383019246373	1	0.19138	ns	Wilcoxon	0.863845443271382	-0.211154882234767	-1
CESCPD1_exp	PD1_exp	CESC	value	Absence	Presence	0.115716305713012	1	0.11572	ns	Wilcoxon	1.05005580606503	0.0704660031236069	1
CESCPDL1_exp	PDL1_exp	CESC	value	Absence	Presence	0.123470846212756	1	0.12347	ns	Wilcoxon	1.04952931410918	0.069742462703739	1
CESCPDL2_exp	PDL2_exp	CESC	value	Absence	Presence	0.640349106403977	1	0.64035	ns	Wilcoxon	1.01537410377519	0.0220113709793313	1
CESCPRKCQ	PRKCQ	CESC	value	Absence	Presence	0.309607834430181	1	0.30961	ns	Wilcoxon	1.01229390681004	0.0176282192192104	1
CESCSTK24	STK24	CESC	value	Absence	Presence	0.74255203191246	1	0.74255	ns	Wilcoxon	0.984874853303828	-0.0219876799513346	-1
CESCT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	CESC	value	Absence	Presence	0.0387843939403554	1	0.03878	*	Wilcoxon	2.26076436369824	1.17681062984277	1
CESCT.Cells.CD8.x	T.Cells.CD8.x	CESC	value	Absence	Presence	0.12959503795527	1	0.12960	ns	Wilcoxon	1.17140324618859	0.228237797557072	1
CESCT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	CESC	value	Absence	Presence	0.12752174386903	1	0.12752	ns	Wilcoxon	1.14686011873346	0.197689438157505	1
CESCTIM3_exp	TIM3_exp	CESC	value	Absence	Presence	0.805011300786557	1	0.80501	ns	Wilcoxon	1.00677265031413	0.00973793032020494	1
GBMCCR5	CCR5	GBM	value	Absence	Presence	0.266221698447105	1	0.26622	ns	Wilcoxon	1.02168002869075	0.0309434415797222	1
GBMCTLA4_exp	CTLA4_exp	GBM	value	Absence	Presence	0.488313803070427	1	0.48831	ns	Wilcoxon	1.00410941302879	0.0059164814736128	1
GBMCXCL13	CXCL13	GBM	value	Absence	Presence	0.457289709192442	1	0.45729	ns	Wilcoxon	0.218748419082309	-2.19265550441259	-1
GBMDOCK2	DOCK2	GBM	value	Absence	Presence	0.141360166589977	1	0.14136	ns	Wilcoxon	1.2309222320897	0.299739617287334	1
GBMLAG3_exp	LAG3_exp	GBM	value	Absence	Presence	0.0718940941159788	1	0.07189	ns	Wilcoxon	0.940717967782838	-0.0881658347054256	-1
GBMLymphocytes.x	Lymphocytes.x	GBM	value	Absence	Presence	0.123429049178632	1	0.12343	ns	Wilcoxon	0.81808502543687	-0.289677301351836	-1
GBMMacrophages	Macrophages	GBM	value	Absence	Presence	0.200091953119215	1	0.20009	ns	Wilcoxon	1.08490658959565	0.117570832044422	1
GBMNK.Cells.Activated	NK.Cells.Activated	GBM	value	Absence	Presence	0.254066017140264	1	0.25407	ns	Wilcoxon	0.552459719414308	-0.856058815396334	-1
GBMPD1_exp	PD1_exp	GBM	value	Absence	Presence	0.439663110405965	1	0.43966	ns	Wilcoxon	0.971663563826776	-0.0414712242856457	-1
GBMPDL1_exp	PDL1_exp	GBM	value	Absence	Presence	0.0703331241947204	1	0.07033	ns	Wilcoxon	1.09071856413836	0.125278894053402	1
GBMPDL2_exp	PDL2_exp	GBM	value	Absence	Presence	0.207183717304998	1	0.20718	ns	Wilcoxon	1.05059264299483	0.071203386852517	1
GBMPRKCQ	PRKCQ	GBM	value	Absence	Presence	0.3829273541115	1	0.38293	ns	Wilcoxon	0.99928891417194	-0.00102624491515378	-1
GBMSTK24	STK24	GBM	value	Absence	Presence	0.940386716847804	1	0.94039	ns	Wilcoxon	1.00805334186729	0.0115719821029908	1
GBMT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	GBM	value	Absence	Presence	0.307276735664667	1	0.30728	ns	Wilcoxon	0.669193507991329	-0.579504645378021	-1
GBMT.Cells.CD8.x	T.Cells.CD8.x	GBM	value	Absence	Presence	0.656880250926259	1	0.65688	ns	Wilcoxon	0.798919146489878	-0.323878590307876	-1
GBMT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	GBM	value	Absence	Presence	0.0455746711970626	1	0.04557	*	Wilcoxon	0.459092809783714	-1.12314225785039	-1
GBMTIM3_exp	TIM3_exp	GBM	value	Absence	Presence	0.693684803107249	1	0.69368	ns	Wilcoxon	1.01797604066381	0.0257036061854369	1
HNSCCCR5	CCR5	HNSC	value	Absence	Presence	0.706516899549181	1	0.70652	ns	Wilcoxon	0.903274953980139	-0.146762888616182	-1
HNSCCTLA4_exp	CTLA4_exp	HNSC	value	Absence	Presence	0.622954778581086	1	0.62295	ns	Wilcoxon	0.993736542928009	-0.00906467628977945	-1
HNSCCXCL13	CXCL13	HNSC	value	Absence	Presence	0.225622084183115	1	0.22562	ns	Wilcoxon	1.08577416398579	0.118724060435876	1
HNSCDOCK2	DOCK2	HNSC	value	Absence	Presence	0.933815192803658	1	0.93382	ns	Wilcoxon	0.881576166258959	-0.18184287425053	-1
HNSCLAG3_exp	LAG3_exp	HNSC	value	Absence	Presence	0.925565004886695	1	0.92557	ns	Wilcoxon	1.00421947152713	0.0060746038321001	1
HNSCLymphocytes.x	Lymphocytes.x	HNSC	value	Absence	Presence	0.141076502273389	1	0.14108	ns	Wilcoxon	1.06367488399655	0.0890572533570081	1
HNSCMacrophages	Macrophages	HNSC	value	Absence	Presence	0.0372597501604395	1	0.03726	*	Wilcoxon	0.924276364537877	-0.113603803707123	-1
HNSCNK.Cells.Activated	NK.Cells.Activated	HNSC	value	Absence	Presence	0.687482177216395	1	0.68748	ns	Wilcoxon	0.910762824578657	-0.134852689985717	-1
HNSCPD1_exp	PD1_exp	HNSC	value	Absence	Presence	0.871800050964251	1	0.87180	ns	Wilcoxon	1.0079019255552	0.0113552634421163	1
HNSCPDL1_exp	PDL1_exp	HNSC	value	Absence	Presence	0.731927538938905	1	0.73193	ns	Wilcoxon	0.996889599990349	-0.00449435191428656	-1
HNSCPDL2_exp	PDL2_exp	HNSC	value	Absence	Presence	0.88221595763234	1	0.88222	ns	Wilcoxon	0.992198208361011	-0.0112997427676542	-1
HNSCPRKCQ	PRKCQ	HNSC	value	Absence	Presence	0.450837469194333	1	0.45084	ns	Wilcoxon	0.851892039237443	-0.23125748641484	-1
HNSCSTK24	STK24	HNSC	value	Absence	Presence	0.443507660270819	1	0.44351	ns	Wilcoxon	0.963811764770242	-0.0531766834420654	-1
HNSCT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	HNSC	value	Absence	Presence	0.00125515462071751	0.3	0.00126	**	Wilcoxon	1.86307587036066	0.897686426595336	1
HNSCT.Cells.CD8.x	T.Cells.CD8.x	HNSC	value	Absence	Presence	0.361806658783804	1	0.36181	ns	Wilcoxon	1.08729560651328	0.120744223780695	1
HNSCT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	HNSC	value	Absence	Presence	0.210547906379329	1	0.21055	ns	Wilcoxon	1.15612451709383	0.209296787561439	1
HNSCTIM3_exp	TIM3_exp	HNSC	value	Absence	Presence	0.604395092959345	1	0.60440	ns	Wilcoxon	0.991328107198323	-0.0125654589854341	-1
KIRCCCR5	CCR5	KIRC	value	Absence	Presence	0.45651919046697	1	0.45652	ns	Wilcoxon	0.958089779214586	-0.0617672427266914	-1
KIRCCTLA4_exp	CTLA4_exp	KIRC	value	Absence	Presence	0.922676979004818	1	0.92268	ns	Wilcoxon	1.00334912285604	0.00482368987199611	1
KIRCCXCL13	CXCL13	KIRC	value	Absence	Presence	0.698811105257807	1	0.69881	ns	Wilcoxon	1.41391620291783	0.499696619993663	1
KIRCDOCK2	DOCK2	KIRC	value	Absence	Presence	0.471940156079917	1	0.47194	ns	Wilcoxon	0.904446265075666	-0.144893302833233	-1
KIRCLAG3_exp	LAG3_exp	KIRC	value	Absence	Presence	0.738579912913379	1	0.73858	ns	Wilcoxon	1.0013521350187	0.00194940085631036	1
KIRCLymphocytes.x	Lymphocytes.x	KIRC	value	Absence	Presence	0.956525335695014	1	0.95653	ns	Wilcoxon	1.0028837238524	0.00415434698118517	1
KIRCMacrophages	Macrophages	KIRC	value	Absence	Presence	0.762786514671071	1	0.76279	ns	Wilcoxon	0.986565024389107	-0.0195139529379014	-1
KIRCNK.Cells.Activated	NK.Cells.Activated	KIRC	value	Absence	Presence	0.912078949674286	1	0.91208	ns	Wilcoxon	0.979970149176634	-0.0291902908541493	-1
KIRCPD1_exp	PD1_exp	KIRC	value	Absence	Presence	0.439813051682885	1	0.43981	ns	Wilcoxon	1.01020384975665	0.0146464448170529	1
KIRCPDL1_exp	PDL1_exp	KIRC	value	Absence	Presence	0.648347194675545	1	0.64835	ns	Wilcoxon	1.02272298313012	0.0324154266231635	1
KIRCPDL2_exp	PDL2_exp	KIRC	value	Absence	Presence	0.65986173955791	1	0.65986	ns	Wilcoxon	1.00267531976319	0.00385451681857168	1
KIRCPRKCQ	PRKCQ	KIRC	value	Absence	Presence	0.581999168374186	1	0.58200	ns	Wilcoxon	1.04965412850691	0.0699140238062135	1
KIRCSTK24	STK24	KIRC	value	Absence	Presence	0.104489842251723	1	0.10449	ns	Wilcoxon	0.922776920480301	-0.1159461735767	-1
KIRCT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	KIRC	value	Absence	Presence	0.887496893970428	1	0.88750	ns	Wilcoxon	1.93260430525715	0.950546280445768	1
KIRCT.Cells.CD8.x	T.Cells.CD8.x	KIRC	value	Absence	Presence	0.82842028905551	1	0.82842	ns	Wilcoxon	0.977182062225831	-0.0333007140650017	-1
KIRCT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	KIRC	value	Absence	Presence	0.342406210888522	1	0.34241	ns	Wilcoxon	1.03587719228382	0.0508529754326998	1
KIRCTIM3_exp	TIM3_exp	KIRC	value	Absence	Presence	0.0957107724711061	1	0.09571	ns	Wilcoxon	0.973159291461169	-0.039252123188345	-1
KIRPCCR5	CCR5	KIRP	value	Absence	Presence	0.897949332899112	1	0.89795	ns	Wilcoxon	0.956358601332676	-0.0643764145918208	-1
KIRPCTLA4_exp	CTLA4_exp	KIRP	value	Absence	Presence	0.215477127913002	1	0.21548	ns	Wilcoxon	1.02551188336192	0.0363442094852285	1
KIRPCXCL13	CXCL13	KIRP	value	Absence	Presence	0.805207911446859	1	0.80521	ns	Wilcoxon	0.090925416018197	-3.4591725682028	-1
KIRPDOCK2	DOCK2	KIRP	value	Absence	Presence	0.629361084068502	1	0.62936	ns	Wilcoxon	0.918874597370941	-0.122060110517551	-1
KIRPLAG3_exp	LAG3_exp	KIRP	value	Absence	Presence	0.954246608695274	1	0.95425	ns	Wilcoxon	0.975238340599281	-0.0361732495843565	-1
KIRPLymphocytes.x	Lymphocytes.x	KIRP	value	Absence	Presence	0.624289308699658	1	0.62429	ns	Wilcoxon	0.973493170845823	-0.0387572365595867	-1
KIRPMacrophages	Macrophages	KIRP	value	Absence	Presence	0.862758591160202	1	0.86276	ns	Wilcoxon	1.0099605367599	0.0142989221522275	1
KIRPNK.Cells.Activated	NK.Cells.Activated	KIRP	value	Absence	Presence	0.398825903351224	1	0.39883	ns	Wilcoxon	0.856735250805082	-0.223078644762144	-1
KIRPPD1_exp	PD1_exp	KIRP	value	Absence	Presence	0.519171431148956	1	0.51917	ns	Wilcoxon	0.997470694606255	-0.00365363888299553	-1
KIRPPDL1_exp	PDL1_exp	KIRP	value	Absence	Presence	0.61505317546924	1	0.61505	ns	Wilcoxon	0.97615581745792	-0.0348166406120937	-1
KIRPPDL2_exp	PDL2_exp	KIRP	value	Absence	Presence	0.794960772341105	1	0.79496	ns	Wilcoxon	0.990600937634405	-0.013624108358942	-1
KIRPPRKCQ	PRKCQ	KIRP	value	Absence	Presence	0.725587132339551	1	0.72559	ns	Wilcoxon	1.0589561646328	0.082642870372944	1
KIRPSTK24	STK24	KIRP	value	Absence	Presence	0.981151749475689	1	0.98115	ns	Wilcoxon	0.997351174764281	-0.00382651715965536	-1
KIRPT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	KIRP	value	Absence	Presence	0.2060898315058	1	0.20609	ns	Wilcoxon	0	-3.5	-1
KIRPT.Cells.CD8.x	T.Cells.CD8.x	KIRP	value	Absence	Presence	0.925399513832317	1	0.92540	ns	Wilcoxon	0.963892266441545	-0.0530561884281434	-1
KIRPT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	KIRP	value	Absence	Presence	0.570699908930392	1	0.57070	ns	Wilcoxon	0.849903721649296	-0.234628675009051	-1
KIRPTIM3_exp	TIM3_exp	KIRP	value	Absence	Presence	0.975768052408813	1	0.97577	ns	Wilcoxon	0.999747683742955	-0.000364061344003887	-1
LGGCCR5	CCR5	LGG	value	Absence	Presence	0.21763054679884	1	0.21763	ns	Wilcoxon	1.76832932692308	0.822386981784714	1
LGGCTLA4_exp	CTLA4_exp	LGG	value	Absence	Presence	0.412761710552892	1	0.41276	ns	Wilcoxon	1.06084138599307	0.0852089646904823	1
LGGCXCL13	CXCL13	LGG	value	Absence	Presence	0.228292085690823	1	0.22829	ns	Wilcoxon	0.960366712711929	-0.0583426957314505	-1
LGGDOCK2	DOCK2	LGG	value	Absence	Presence	0.624319251605385	1	0.62432	ns	Wilcoxon	1.1217138372827	0.165704673995196	1
LGGLAG3_exp	LAG3_exp	LGG	value	Absence	Presence	0.1395007153851	1	0.13950	ns	Wilcoxon	1.06519971744124	0.0911239509666727	1
LGGLymphocytes.x	Lymphocytes.x	LGG	value	Absence	Presence	0.0115805174459897	1	0.01158	*	Wilcoxon	1.35522839331327	0.438536005921431	1
LGGMacrophages	Macrophages	LGG	value	Absence	Presence	0.0313067877102782	1	0.03131	*	Wilcoxon	0.867583433570107	-0.20492558974997	-1
LGGNK.Cells.Activated	NK.Cells.Activated	LGG	value	Absence	Presence	0.0611324901725351	1	0.06113	ns	Wilcoxon	0.667586786397341	-0.582972695291234	-1
LGGPD1_exp	PD1_exp	LGG	value	Absence	Presence	0.205312018137844	1	0.20531	ns	Wilcoxon	1.04466615280923	0.0630419694469331	1
LGGPDL1_exp	PDL1_exp	LGG	value	Absence	Presence	0.34001198771318	1	0.34001	ns	Wilcoxon	1.07479438588352	0.104060690662484	1
LGGPDL2_exp	PDL2_exp	LGG	value	Absence	Presence	0.554479450743787	1	0.55448	ns	Wilcoxon	1.02928288436556	0.0416395417884073	1
LGGPRKCQ	PRKCQ	LGG	value	Absence	Presence	0.956229844969967	1	0.95623	ns	Wilcoxon	0.926242613249498	-0.11053796286248	-1
LGGSTK24	STK24	LGG	value	Absence	Presence	0.0585706696563381	1	0.05857	ns	Wilcoxon	1.15347527352657	0.205987078019207	1
LGGT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	LGG	value	Absence	Presence	0.00179573369827758	0.42	0.00180	**	Wilcoxon	11.8337944064513	3.56484083075045	1
LGGT.Cells.CD8.x	T.Cells.CD8.x	LGG	value	Absence	Presence	0.112342382394963	1	0.11234	ns	Wilcoxon	1.4662824645114	0.552163050876871	1
LGGT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	LGG	value	Absence	Presence	0.828196296223217	1	0.82820	ns	Wilcoxon	0.795145684538786	-0.330708883413266	-1
LGGTIM3_exp	TIM3_exp	LGG	value	Absence	Presence	0.8925330545293	1	0.89253	ns	Wilcoxon	0.991316189682872	-0.0125828028332125	-1
LIHCCCR5	CCR5	LIHC	value	Absence	Presence	0.969765381926283	1	0.96977	ns	Wilcoxon	1.03400957315946	0.0482495426023124	1
LIHCCTLA4_exp	CTLA4_exp	LIHC	value	Absence	Presence	0.631694964923061	1	0.63169	ns	Wilcoxon	1.01551531270633	0.0222119938427549	1
LIHCCXCL13	CXCL13	LIHC	value	Absence	Presence	0.342983231655843	1	0.34298	ns	Wilcoxon	0.951851296087562	-0.0711918902134792	-1
LIHCDOCK2	DOCK2	LIHC	value	Absence	Presence	1	1	1.00000	ns	Wilcoxon	0.868524607837852	-0.203361369610071	-1
LIHCLAG3_exp	LAG3_exp	LIHC	value	Absence	Presence	0.474204112599062	1	0.47420	ns	Wilcoxon	1.02365014457779	0.0337227261533076	1
LIHCLymphocytes.x	Lymphocytes.x	LIHC	value	Absence	Presence	0.160493223530336	1	0.16049	ns	Wilcoxon	0.923886888109614	-0.114211862242115	-1
LIHCMacrophages	Macrophages	LIHC	value	Absence	Presence	0.141828264498352	1	0.14183	ns	Wilcoxon	1.07176409607823	0.0999873919236481	1
LIHCNK.Cells.Activated	NK.Cells.Activated	LIHC	value	Absence	Presence	0.842050732943622	1	0.84205	ns	Wilcoxon	0.946043193803864	-0.0800220402190648	-1
LIHCPD1_exp	PD1_exp	LIHC	value	Absence	Presence	0.226048922882524	1	0.22605	ns	Wilcoxon	1.066385745805	0.0927294014117275	1
LIHCPDL1_exp	PDL1_exp	LIHC	value	Absence	Presence	0.217617056196355	1	0.21762	ns	Wilcoxon	0.979352537721383	-0.0300998143534238	-1
LIHCPDL2_exp	PDL2_exp	LIHC	value	Absence	Presence	0.814912849185382	1	0.81491	ns	Wilcoxon	1.02375823104572	0.033875051222669	1
LIHCPRKCQ	PRKCQ	LIHC	value	Absence	Presence	0.55607856498164	1	0.55608	ns	Wilcoxon	1.26115807269653	0.334749113416278	1
LIHCSTK24	STK24	LIHC	value	Absence	Presence	0.886538581666166	1	0.88654	ns	Wilcoxon	1.01295630051804	0.0185719368381641	1
LIHCT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	LIHC	value	Absence	Presence	0.745061111613454	1	0.74506	ns	Wilcoxon	0.911911168584932	-0.133034799975208	-1
LIHCT.Cells.CD8.x	T.Cells.CD8.x	LIHC	value	Absence	Presence	0.979438927823554	1	0.97944	ns	Wilcoxon	0.906596942270626	-0.141466799512178	-1
LIHCT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	LIHC	value	Absence	Presence	0.540504113731278	1	0.54050	ns	Wilcoxon	1.04620579508072	0.0651666664409695	1
