Hugo_Symbol	composites	samples	predicted_proportion	observed_proportion	p_enriched	p_twosided	logOR	Role	q_enriched	q_twosided
EPHA7	4	418	0.00411647606805578	0.00956937799043062	0.0959069240021067	0.0959069240021067	1.21701531386088	Oncogene/TSG	1	1
ARID1B	6	507	0.00617582296913829	0.0118343195266272	0.0970781378694028	0.140324120856331	0.938273450243923	TSG	1	1
CSF3R	2	167	0.00314305515037955	0.0119760479041916	0.0976110995386088	0.0976110995386088	1.92991240523081	Oncogene	1	1
TEK	2	154	0.00347853806881273	0.012987012987013	0.100961013392668	0.100961013392668	1.90051663444889	n/a	1	1
DDR2	3	228	0.00504314017380491	0.0131578947368421	0.109369480145345	0.109369480145345	1.38353444573633	Oncogene	1	1
PBRM1	7	682	0.00588143071932127	0.0102639296187683	0.111222282759082	0.129121866625324	0.803344129335677	TSG	1	1
SESN2	1	58	0.00233817321979461	0.0172413793103448	0.126959069083577	0.126959069083577	2.8824214759688	TSG	1	1
HLA_B	1	90	0.00153083929338127	0.0111111111111111	0.128797728683917	0.128797728683917	2.85960835083189	TSG	1	1
FAT1	17	969	0.0129904849954774	0.0175438596491228	0.134866567645368	0.200424099992833	0.433510881274656	TSG	1	1
CARM1	1	69	0.0021423073965676	0.0144927536231884	0.137549716415447	0.137549716415447	2.75809432273271	n/a	1	1
RUNX1	3	343	0.00377866422152517	0.0087463556851312	0.141679295671131	0.141679295671131	1.21080569523105	TSG	1	1
EP300	7	538	0.00802030935289953	0.0130111524163569	0.145178736072782	0.21545920279674	0.698018959940885	TSG	1	1
TCF7L2	3	368	0.00357661228123311	0.00815217391304348	0.146347644113811	0.146347644113811	1.18859109630468	TSG	1	1
MEF2B	1	71	0.00263644816684229	0.0140845070422535	0.170917001385814	0.170917001385814	2.41744153186642	Oncogene	1	1
BAP1	3	554	0.00256259684033933	0.00541516245487365	0.171095994951317	0.171095994951317	1.07939809435014	TSG	1	1
MED12	5	649	0.00450588939328211	0.00770416024653313	0.171786763857703	0.225134143944406	0.77382581158591	Oncogene/TSG	1	1
KNSTRN	1	71	0.00265395399160358	0.0140845070422535	0.171949569405931	0.171949569405931	2.40789380449478	n/a	1	1
TP63	3	296	0.00488930915749821	0.0101351351351351	0.177694688960265	0.177694688960265	1.05166278800448	Oncogene/TSG	1	1
WHSC1L1	2	144	0.00542162504665164	0.0138888888888889	0.184078026973032	0.184078026973032	1.35713394172274	n/a	1	1
CALR	1	75	0.00275115759487482	0.0133333333333333	0.186672298542965	0.186672298542965	2.27692681008014	Oncogene	1	1
NUP93	2	154	0.00512202472479552	0.012987012987013	0.18698907595021	0.18698907595021	1.34228352690572	n/a	1	1
SETD2	9	816	0.00775785571558205	0.0110294117647059	0.187941867711126	0.311031900875102	0.507625999966333	TSG	1	1
PTPN11	2	188	0.00422414593984308	0.0106382978723404	0.188945533587648	0.188945533587648	1.33253575381584	Oncogene	1	1
BRIP1	3	235	0.00639285937104571	0.0127659574468085	0.191333584725809	0.191333584725809	0.997768480769754	TSG	1	1
PRDM1	2	171	0.00476097016106338	0.0116959064327485	0.196133309047423	0.196133309047423	1.29667618281027	TSG	1	1
CDK12	4	384	0.00597553758325441	0.0104166666666667	0.19912687043105	0.29923647779026	0.801753274394402	Oncogene/TSG	1	1
CCNE1	1	70	0.00316950310109547	0.0142857142857143	0.199258866283546	0.199258866283546	2.17224458816518	Oncogene	1	1
PDGFRA	4	448	0.00517945220539718	0.00892857142857143	0.204450110434231	0.302094350888776	0.78562984043546	Oncogene	1	1
GNA11	1	117	0.00200097672291846	0.00854700854700855	0.208914177304728	0.208914177304728	2.09471518040646	Oncogene	1	1
TRAF2	1	84	0.00283403586979354	0.0119047619047619	0.212110151967192	0.212110151967192	2.07060884362536	n/a	1	1
NKX2_1	1	157	0.0015193475607651	0.00636942675159236	0.212363792656845	0.212363792656845	2.06771160218076	n/a	1	1
NFE2L2	3	321	0.00498088111882417	0.00934579439252336	0.216087946124023	0.216087946124023	0.907916320362175	Oncogene	1	1
PTPRT	5	936	0.00341951340373177	0.00534188034188034	0.219261595812044	0.259773905390835	0.643556615547469	TSG	1	1
RRAS2	1	89	0.00278562538210584	0.0112359550561798	0.219848079704818	0.219848079704818	2.01204959996244	Oncogene	1	1
TBX3	3	536	0.00303386553412643	0.00559701492537313	0.223273370956176	0.223273370956176	0.883500450523104	TSG	1	1
ACVR1	1	87	0.00303518820555645	0.0114942528735632	0.232381891907261	0.232381891907261	1.92105481111181	Oncogene	1	1
NFKBIA	1	98	0.00269614621150035	0.0102040816326531	0.232471112097688	0.232471112097688	1.92017570482577	TSG	1	1
KMT2D	26	1516	0.0146367742233439	0.0171503957783641	0.234044009123058	0.391512684722002	0.228644234481403	TSG	1	1
DNMT3A	2	299	0.00309938647667963	0.00668896321070234	0.237264603428254	0.237264603428254	1.10979994807782	TSG	1	1
PREX2	3	498	0.00338994798256117	0.00602409638554217	0.239523720477957	0.239523720477957	0.82948171738033	n/a	1	1
PIK3R3	1	70	0.00392203473121037	0.0142857142857143	0.240490330417797	0.240490330417797	1.86489895647999	TSG	1	1
BRCA1	4	389	0.00643514264999178	0.0102827763496144	0.242778801239049	0.323936618050658	0.676185810164699	TSG	1	1
FAM46C	1	91	0.0030747075832419	0.010989010989011	0.244389632791787	0.244389632791787	1.83754043344787	n/a	1	1
SMARCD1	1	82	0.00349249615029725	0.0121951219512195	0.249402670780649	0.249402670780649	1.80397375465984	n/a	1	1
ATM	12	1085	0.00883000413198473	0.0110599078341014	0.255974358088063	0.413682265712665	0.324853345070924	TSG	1	1
AURKA	1	93	0.00320904390231358	0.010752688172043	0.258381979175704	0.258381979175704	1.74448194656543	Oncogene	1	1
MAP3K13	2	208	0.00496578989886576	0.00961538461538462	0.276365827927222	0.276365827927222	0.953321343724859	Oncogene	1	1
PTPRD	5	849	0.00415972617977076	0.00588928150765607	0.280350477931475	0.412390997526825	0.501603072074407	TSG	1	1
PIK3CB	2	218	0.00482358382562602	0.00917431192660551	0.283239066209346	0.283239066209346	0.927494521678315	Oncogene	1	1
YES1	1	78	0.00436774908625814	0.0128205128205128	0.289247218039891	0.289247218039891	1.55349208555135	Oncogene	1	1
KMT2C	23	1279	0.0157773001568736	0.017982799061767	0.292150715885884	0.499796852795148	0.188767247336053	TSG	1	1
ERRFI1	1	88	0.00421635695617656	0.0113636363636364	0.310524306799633	0.310524306799633	1.43035565552355	TSG	1	1
RAD51C	1	87	0.00426590936893551	0.0114942528735632	0.310596112443363	0.310596112443363	1.42998747348092	TSG	1	1
B2M	1	124	0.00299782967000565	0.00806451612903226	0.310845081696506	0.310845081696506	1.42766955937472	TSG	1	1
RARA	1	139	0.002811597147192	0.00719424460431655	0.323864945677694	0.323864945677694	1.35545331574427	n/a	1	1
DICER1	3	347	0.00581004364974066	0.00864553314121038	0.327689208672313	0.46008430108661	0.573405930444054	TSG	1	1
PIK3C2G	3	460	0.00443021512429402	0.00652173913043478	0.333602853979148	0.463316432743494	0.557879978950501	n/a	1	1
PLCG2	2	293	0.00409294090779038	0.0068259385665529	0.337242423090767	0.337242423090767	0.73788959235041	Oncogene	1	1
FOXA1	2	533	0.00231734975093691	0.00375234521575985	0.350135148157255	0.350135148157255	0.695316759451315	Oncogene/TSG	1	1
BMPR1A	1	95	0.00457586129725355	0.0105263157894737	0.353191135876391	0.353191135876391	1.20188535428416	TSG	1	1
JAK1	2	282	0.00443776773420605	0.00709219858156028	0.356083528050135	0.356083528050135	0.676398771145214	Oncogene/TSG	1	1
FOXO1	1	109	0.00407496613477072	0.00917431192660551	0.359226197329836	0.359226197329836	1.17081189008779	TSG	1	1
PAK5	2	358	0.0035229145303295	0.00558659217877095	0.359536471395434	0.359536471395434	0.665199033463491	Oncogene	1	1
ETV6	1	137	0.00328527976298262	0.0072992700729927	0.36289721316068	0.36289721316068	1.15173597103766	Oncogene	1	1
ARAF	1	166	0.00278021123552166	0.00602409638554217	0.37007707690274	0.37007707690274	1.11555035279007	Oncogene	1	1
PRKD1	1	185	0.00251768816198384	0.00540540540540541	0.372718346251724	0.372718346251724	1.10230322060417	n/a	1	1
CDH1	4	853	0.00362780531684646	0.00468933177022274	0.373971958076399	0.55890754035823	0.370285316428935	TSG	1	1
CREBBP	6	705	0.00701962560953199	0.00851063829787234	0.375030128275294	0.646328606539985	0.277873251395628	TSG	1	1
IKZF1	2	335	0.00393339441793662	0.00597014925373134	0.37965101936949	0.37965101936949	0.601992140706865	n/a	1	1
TGFBR2	2	347	0.00380267188239817	0.00576368876080692	0.380293859636687	0.380293859636687	0.599978972226332	TSG	1	1
BCL6	1	136	0.0035359643158441	0.00735294117647059	0.38229443275192	0.38229443275192	1.05621772796253	Oncogene	1	1
FGFR4	1	199	0.00254401642537816	0.0050251256281407	0.397642604054259	0.397642604054259	0.9820516787418	Oncogene	1	1
SUZ12	1	116	0.00452223092276988	0.00862068965517241	0.408899076255995	0.408899076255995	0.930768625921678	n/a	1	1
AMER1	2	440	0.00322965540955205	0.00454545454545455	0.415645476182402	0.656551568146942	0.493044327410411	TSG	1	1
PIK3R2	1	205	0.00263033696179577	0.0048780487804878	0.417210654920358	0.417210654920358	0.891056555991868	TSG	1	1
KMT2B	2	452	0.0031750600481602	0.00442477876106195	0.420468877173476	0.658011006828901	0.478821445208166	Oncogene/TSG	1	1
RECQL4	1	240	0.00237895440563405	0.00416666666666667	0.43539520318515	0.43539520318515	0.808566067309854	TSG	1	1
INPP4A	1	180	0.00323816913114863	0.00555555555555556	0.442234247084058	0.442234247084058	0.77875284806036	n/a	1	1
MALT1	1	105	0.00559778726342047	0.00952380952380952	0.445350517042904	0.445350517042904	0.766682106780414	n/a	1	1
CHEK2	1	153	0.00386762809500186	0.0065359477124183	0.447274832999868	0.447274832999868	0.756947367757667	TSG	1	1
RNF43	2	385	0.00393773904671811	0.00519480519480519	0.447864037315859	0.66678987301642	0.399702141822049	TSG	1	1
TSC2	2	458	0.00340865248182111	0.00436681222707424	0.462746673877225	0.672079540791647	0.357378974913582	TSG	1	1
POLD1	1	214	0.00296190310861302	0.00467289719626168	0.469952058049418	0.469952058049418	0.65779285108787	TSG	1	1
CASP8	1	185	0.00364272915779921	0.00540540540540541	0.490912468509929	0.490912468509929	0.569383091548123	TSG	1	1
EZH2	1	148	0.00455372771077603	0.00675675675675676	0.491093448631911	0.491093448631911	0.569282890636662	Oncogene/TSG	1	1
CDKN1B	1	183	0.00371349827163461	0.00546448087431694	0.493805910705315	0.493805910705315	0.557305539538008	TSG	1	1
DROSHA	1	192	0.00356235987526282	0.00520833333333333	0.496007693676554	0.496007693676554	0.547988516790727	n/a	1	1
INHBA	1	203	0.00342442506051326	0.00492610837438424	0.501599481067934	0.501599481067934	0.524586578520009	n/a	1	1
GRIN2A	3	743	0.00368055397760221	0.00403768506056528	0.515154220447473	0.757027670052801	0.13360545535877	TSG	1	1
MST1R	1	197	0.00376382786879242	0.0050761421319797	0.52425486167475	0.52425486167475	0.431531814428842	Oncogene	1	1
U2AF1	1	210	0.0035479760603049	0.00476190476190476	0.525929797378743	0.525929797378743	0.424542491797779	Oncogene	1	1
PIK3R1	3	725	0.00389939149382158	0.00413793103448276	0.537353577231277	0.763267565574429	0.0856605937728188	TSG	1	1
ROS1	5	583	0.00835806624762807	0.00857632933104631	0.537560942090351	0.819745858496077	0.0371911125671045	Oncogene	1	1
INSR	1	210	0.00382183540071731	0.00476190476190476	0.552519817754504	0.552519817754504	0.317273121512206	Oncogene	1	1
MSH6	1	194	0.00413642337024314	0.00515463917525773	0.552523114286934	0.552523114286934	0.317487586877421	TSG	1	1
RICTOR	2	242	0.00778199696820894	0.00826446280991736	0.562458475584328	0.713438279147844	0.0867806291367063	Oncogene	1	1
RET	1	333	0.00249913690918635	0.003003003003003	0.565367413354116	0.565367413354116	0.264975979433986	Oncogene	1	1
IL7R	1	208	0.00406607160514345	0.00480769230769231	0.571501051383539	0.571501051383539	0.24170894467929	Oncogene	1	1
CSF1R	1	216	0.00394423578280226	0.00462962962962963	0.574137824055658	0.574137824055658	0.231150985216861	n/a	1	1
CUL3	1	184	0.00466615988711507	0.00543478260869565	0.577084461646296	0.577084461646296	0.219986586135938	n/a	1	1
DIS3	1	196	0.00448213743120171	0.00510204081632653	0.585413489517097	0.585413489517097	0.186887555136002	n/a	1	1
ESR1	2	521	0.00380458176588121	0.00383877159309021	0.589662454442519	0.726910232492482	0.0129068540562388	Oncogene	1	1
TP53BP1	1	198	0.0045231624826543	0.00505050505050505	0.592460631374795	0.592460631374795	0.159095842677004	TSG	1	1
MDC1	2	334	0.00609803013542437	0.00598802395209581	0.604690246673411	1	-0.0262632877299557	n/a	1	1
JAK2	1	201	0.00461052623522805	0.00497512437810945	0.604995722943192	0.604995722943192	0.109801167421676	Oncogene	1	1
NTRK1	1	277	0.00335958710697351	0.0036101083032491	0.606302473599561	0.606302473599561	0.103758181836446	Oncogene	1	1
SOX9	1	437	0.00221414750301119	0.0022883295194508	0.620406838628682	0.620406838628682	0.0475434797744814	Oncogene/TSG	1	1
RPTOR	1	254	0.00397949292310018	0.00393700787401575	0.636802230099057	1	-0.015485012794789	Oncogene	1	1
PGR	1	282	0.00369986856384759	0.00354609929078014	0.648412920647926	1	-0.0612410883017113	Oncogene	1	1
MAP3K1	3	551	0.00610633481574248	0.00544464609800363	0.654197831230516	1	-0.165468419147342	TSG	1	1
CBL	1	215	0.00499391010389282	0.00465116279069767	0.659173111476635	1	-0.102578416262517	TSG	1	1
DOT1L	1	354	0.00311674640190637	0.00282485875706215	0.668806076779381	1	-0.141862038415575	n/a	1	1
GNAS	1	361	0.00308028281730754	0.00277008310249307	0.671657573437555	1	-0.153133560806064	Oncogene	1	1
BLM	1	188	0.006235501947525	0.00531914893617021	0.691472559157654	1	-0.229310266293847	TSG	1	1
CTCF	1	287	0.00409516805424259	0.00348432055749129	0.69202182982372	1	-0.233045299263903	TSG	1	1
STAG2	2	474	0.00508614427035837	0.00421940928270042	0.694687969522963	1	-0.269531349421601	TSG	1	1
NF1	10	1225	0.00926690838592379	0.00816326530612245	0.697544904281659	0.880747826653028	-0.182941763393462	TSG	1	1
FGFR2	1	314	0.00390427122631678	0.00318471337579618	0.707221994022162	1	-0.293889743377862	Oncogene	1	1
NTRK3	1	425	0.00289623623786173	0.00235294117647059	0.708491565686799	1	-0.299714030169238	Oncogene	1	1
PTCH1	1	321	0.0038954569212971	0.00311526479750779	0.714320160091395	1	-0.32243776294928	TSG	1	1
RAD50	1	217	0.00582292277571336	0.00460829493087558	0.718399937768105	1	-0.337510433490702	TSG	1	1
NOTCH3	2	595	0.00433225452863812	0.00336134453781513	0.728947693103611	1	-0.366079580195223	Oncogene/TSG	1	1
KDM6A	3	704	0.00540143028221676	0.00426136363636364	0.732311377882029	1	-0.342026312352009	TSG	1	1
ANKRD11	2	436	0.00597766270198621	0.00458715596330275	0.734747656002487	1	-0.381981533333491	TSG	1	1
EPHB1	1	463	0.00301762910765196	0.00215982721382289	0.753224086303102	1	-0.482499595836803	n/a	1	1
ATRX	7	1085	0.00792012214850274	0.00645161290322581	0.754701749774751	0.731778369999475	-0.295862801129187	TSG	1	1
FLT1	1	372	0.00416451992616671	0.00268817204301075	0.788268483121197	1	-0.631524721902918	Oncogene	1	1
ATR	3	446	0.00945108717992478	0.00672645739910314	0.793140867360146	0.804855399179026	-0.490633409888794	TSG	1	1
SF3B1	2	507	0.00582853002248157	0.00394477317554241	0.794917388863961	1	-0.563189728445999	Oncogene	1	1
MGA	5	648	0.0103434091413875	0.00771604938271605	0.799551367307929	0.695900219556268	-0.422777488087285	TSG	1	1
KDM5C	1	391	0.0041302654045724	0.00255754475703325	0.801760233184773	1	-0.691475002657527	TSG	1	1
SPEN	5	579	0.011622295538763	0.00863557858376511	0.802479757822897	0.696002528011023	-0.428530299290951	TSG	1	1
STK11	1	819	0.00214961412725417	0.00122100122100122	0.828372512409626	1	-0.816013064858973	TSG	1	1
ASXL2	1	297	0.0059443424497095	0.00336700336700337	0.82979264899628	1	-0.820052067134033	TSG	1	1
HGF	1	389	0.00488117190898738	0.0025706940874036	0.850942796964147	1	-0.925069622929739	Oncogene	1	1
KDR	1	463	0.00423647340959031	0.00215982721382289	0.859935725049934	1	-0.971947912552175	Oncogene	1	1
KEAP1	1	720	0.00273858233855473	0.00138888888888889	0.861167091102071	1	-0.979498068933359	TSG	1	1
GATA3	1	807	0.00245939082079469	0.00123915737298637	0.862917591593975	1	-0.988941589849238	Oncogene/TSG	1	1
PTPRS	1	485	0.0044347625690761	0.00206185567010309	0.884171342439187	0.730241941922805	-1.10491351915163	TSG	1	1
PIK3CG	1	518	0.00438064232148943	0.00193050193050193	0.897116448941827	0.733298672067945	-1.1821664267519	Oncogene	1	1
KIT	1	557	0.00411644731103204	0.00179533213644524	0.89949957919458	0.734113753360614	-1.19714899293316	Oncogene	1	1
ASXL1	1	384	0.0060913747982846	0.00260416666666667	0.904271681621068	0.735589828396268	-1.22594609128859	TSG	1	1
TET2	1	369	0.00638906274546222	0.002710027100271	0.906062696089379	0.736291662842058	-1.2372970294644	TSG	1	1
NOTCH4	1	535	0.00453499818351851	0.00186915887850467	0.912116409766624	0.739459599141514	-1.27871276951267	Oncogene/TSG	1	1
ARID2	2	639	0.00637879895982808	0.00312989045383412	0.914516555250452	0.452628566720588	-1.0271726461975	TSG	1	1
MET	1	413	0.00659103769454244	0.00242130750605327	0.934852992469802	0.534241555731126	-1.44471930812332	Oncogene	1	1
EPHA5	1	560	0.0048761033164916	0.00178571428571429	0.935254881129946	0.534928442300941	-1.44922742686507	n/a	1	1
SMAD4	2	1190	0.00374974772786643	0.00168067226890756	0.937317009966127	0.341115156636599	-1.15775511207545	TSG	1	1
RB1	3	1276	0.0048617814663384	0.00235109717868339	0.946921522012873	0.30731291625568	-1.04815087507704	TSG	1	1
ARID1A	7	1889	0.00655738241800744	0.00370566437268396	0.96357065063438	0.151589668083771	-0.823387813081022	TSG	1	1
BRCA2	3	635	0.010688607459063	0.0047244094488189	0.965896269023133	0.175356873607947	-1.17786799821942	TSG	1	1
BRAF	2	1262	0.00428910302682864	0.00158478605388273	0.971633791829992	0.191377210092909	-1.43638788111081	Oncogene	1	1
CTNNB1	1	838	0.00424766891866978	0.00119331742243437	0.971763164156657	0.279116009521004	-1.83169346979144	Oncogene	1	1
MTOR	1	559	0.00649764351509467	0.00178890876565295	0.973853355281876	0.281454360021481	-1.86083678240052	Oncogene	1	1
NCOR1	1	517	0.00744338789086557	0.00193423597678917	0.978987230358417	0.197174971653041	-1.94419560548809	TSG	1	1
KMT2A	3	604	0.0135457345326871	0.00496688741721854	0.988457867355854	0.0753612153076056	-1.4474246762512	TSG	1	1
APC	14	2724	0.00923340398398675	0.00513950073421439	0.994191074332179	0.0209855898107543	-0.845234390753703	TSG	1	0.580620125406691
ZFHX3	1	735	0.00873436170432508	0.00136054421768707	0.998416244600278	0.0260777538609233	-2.6825184317982	TSG	1	0.639591226273172
KRAS	4	4857	0.00392761215583595	0.00082355363393041	0.999993133302845	7.47525823025389e-05	-2.25371795968074	Oncogene	1	0.00580578389216386
ABL1	0	187	0.00482811788428379	0	1	1	-Inf	Oncogene	1	1
AGO2	0	110	0.00267926408766136	0	1	1	-Inf	n/a	1	1
AKT1	0	416	0.00193117917802085	0	1	1	-Inf	Oncogene	1	1
AKT2	0	105	0.00259293622144831	0	1	1	-Inf	Oncogene	1	1
AKT3	0	149	0.00323659332854076	0	1	1	-Inf	Oncogene	1	1
ALK	0	531	0.00383493795023512	0	1	0.279148496531623	-Inf	Oncogene	1	1
ALOX12B	0	135	0.00265757400494711	0	1	1	-Inf	n/a	1	1
AR	0	445	0.00458527090739117	0	1	0.279203398127576	-Inf	Oncogene	1	1
ARID5B	0	207	0.00511947062339605	0	1	0.631864855643496	-Inf	TSG	1	1
AURKB	0	42	0.00273868165644803	0	1	1	-Inf	Oncogene	1	1
AXIN1	0	183	0.00311371649101764	0	1	1	-Inf	TSG	1	1
AXIN2	0	233	0.00245284864213567	0	1	1	-Inf	TSG	1	1
AXL	0	223	0.00351923347470121	0	1	1	-Inf	Oncogene	1	1
BABAM1	0	47	0.0020992424684668	0	1	1	-Inf	n/a	1	1
BARD1	0	163	0.00361629070188325	0	1	1	-Inf	TSG	1	1
BBC3	0	52	0.00208337718165905	0	1	1	-Inf	TSG	1	1
BCL10	0	33	0.00395053269479901	0	1	1	-Inf	TSG	1	1
BCL2	0	30	0.00302703259404293	0	1	1	-Inf	Oncogene	1	1
BCL2L1	0	38	0.00336797680823994	0	1	1	-Inf	n/a	1	1
BCL2L11	0	53	0.00330880366675185	0	1	1	-Inf	TSG	1	1
BCOR	0	614	0.00365296315982199	0	1	0.182572440578091	-Inf	TSG	1	1
BIRC3	0	99	0.00519834274580087	0	1	1	-Inf	n/a	1	1
BRD4	0	263	0.00381831178488753	0	1	0.631422892212004	-Inf	Oncogene	1	1
BTK	0	185	0.00373160741293308	0	1	1	-Inf	Oncogene	1	1
CARD11	0	429	0.00339814562445969	0	1	0.41257903174781	-Inf	Oncogene	1	1
CBFB	0	232	0.00393774097785754	0	1	1	-Inf	TSG	1	1
CCND1	0	90	0.00192044860754437	0	1	1	-Inf	Oncogene	1	1
CCND2	0	77	0.00213717029256908	0	1	1	-Inf	Oncogene	1	1
CCND3	0	37	0.00346693470047275	0	1	1	-Inf	Oncogene	1	1
CD274	0	43	0.0034722415908502	0	1	1	-Inf	Oncogene	1	1
CD276	0	59	0.00268551503821295	0	1	1	-Inf	n/a	1	1
CD79B	0	44	0.0018244026633323	0	1	1	-Inf	Oncogene	1	1
CDC42	0	20	0.00285664809935447	0	1	1	-Inf	Oncogene	1	1
CDC73	0	145	0.00483004502091111	0	1	1	-Inf	TSG	1	1
CDK4	0	70	0.00259457722035066	0	1	1	-Inf	Oncogene	1	1
CDK6	0	50	0.00420674556310841	0	1	1	-Inf	Oncogene	1	1
CDK8	0	112	0.00395296368417234	0	1	1	-Inf	Oncogene	1	1
CDKN1A	0	168	0.00255104972571041	0	1	1	-Inf	TSG	1	1
CDKN2B	0	38	0.00391247947352353	0	1	1	-Inf	TSG	1	1
CDKN2C	0	70	0.00337139572503503	0	1	1	-Inf	TSG	1	1
CEBPA	0	62	0.00152497240435086	0	1	1	-Inf	TSG	1	1
CENPA	0	34	0.00282273775349234	0	1	1	-Inf	n/a	1	1
CHEK1	0	58	0.00385624910630432	0	1	1	-Inf	TSG	1	1
CRKL	0	23	0.00383261342335533	0	1	1	-Inf	Oncogene	1	1
CRLF2	0	63	0.00278026962854241	0	1	1	-Inf	Oncogene	1	1
CSDE1	0	107	0.00340098414421602	0	1	1	-Inf	n/a	1	1
CTLA4	0	48	0.00291836337426992	0	1	1	-Inf	Oncogene	1	1
CXCR4	0	62	0.00272882438811427	0	1	1	-Inf	Oncogene	1	1
CYLD	0	124	0.00299190576098614	0	1	1	-Inf	TSG	1	1
CYSLTR2	0	75	0.00245838250082696	0	1	1	-Inf	n/a	1	1
DAXX	0	206	0.00319321467258882	0	1	1	-Inf	TSG	1	1
DCUN1D1	0	39	0.00346599828238375	0	1	1	-Inf	n/a	1	1
DNAJB1	0	66	0.00302569653019884	0	1	1	-Inf	n/a	1	1
DNMT1	0	210	0.0045755136479874	0	1	1	-Inf	Oncogene	1	1
DNMT3B	0	188	0.00396015522437221	0	1	1	-Inf	TSG	1	1
E2F3	0	76	0.0033392255209422	0	1	1	-Inf	Oncogene	1	1
EED	0	78	0.00503686913556134	0	1	1	-Inf	TSG	1	1
EGFL7	0	42	0.00163207943673393	0	1	1	-Inf	n/a	1	1
EIF1AX	0	151	0.00355563425101834	0	1	1	-Inf	n/a	1	1
EIF4A2	0	115	0.00419099193029473	0	1	1	-Inf	n/a	1	1
EIF4E	0	26	0.00406498175994765	0	1	1	-Inf	n/a	1	1
ELF3	0	241	0.00198895289394511	0	1	1	-Inf	Oncogene/TSG	1	1
EPAS1	0	84	0.0030290452219676	0	1	1	-Inf	n/a	1	1
EPCAM	0	58	0.00374425898673856	0	1	1	-Inf	TSG	1	1
